ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,net_asset,ann_date,manager,2017,2018,2019,2020,2021,2022,all
516850.SH,新能源80ETF,华夏基金,20210309,股票型,被动指数型,中证新能源指数收益率,0.5,0.1,0.97,20211231,,,,,,0.6163000000000001,-0.11872795891851758,0.4244000000000001
159880.SZ,有色ETF基金,鹏华基金,20210308,股票型,被动指数型,国证有色金属行业指数收益率,0.5,0.1,0.42,20211231,,,,,,0.2814000000000001,-0.08943343218354927,0.16680000000000006
517060.SH,沪港深ETF500,华宝基金,20210305,股票型,被动指数型,中证沪港深500指数收益率,0.5,0.1,0.22,20211231,,,,,,-0.09430000000000005,-0.04935409075852928,-0.139
516500.SH,生物科技ETF,华夏基金,20210304,股票型,被动指数型,中证生物科技主题指数收益率,0.5,0.1,1.03,20211231,,,,,,0.05600000000000005,-0.15662878787878798,-0.10940000000000005
159851.SZ,金融科技ETF,华宝基金,20210304,股票型,被动指数型,中证金融科技主题指数收益率,0.5,0.1,0.99,20211231,,,,,,0.2269000000000001,-0.06748716276795191,0.1440999999999999
516760.SH,养殖ETF,平安基金,20210304,股票型,被动指数型,中证畜牧养殖指数收益率,0.5,0.1,1.48,20211231,,,,,,-0.06399999999999995,-0.03429487179487181,-0.09609999999999996
159842.SZ,券商ETF,银华基金,20210303,股票型,被动指数型,中证全指证券公司指数收益率,0.5,0.1,3.73,20211231,,,,,,0.1140000000000001,-0.08222621184919221,0.022399999999999975
516220.SH,化工龙头ETF,国泰基金,20210302,股票型,被动指数型,中证细分化工产业主题指数收益率,0.5,0.1,2.4,20211231,,,,,,0.08410000000000006,-0.0848630200166037,-0.007900000000000018
159865.SZ,养殖ETF,国泰基金,20210301,股票型,被动指数型,中证畜牧养殖指数收益率,0.5,0.1,12.07,20211231,,,,,,-0.10289999999999999,-0.03544755322706504,-0.13470000000000004
516120.SH,化工50ETF,富国基金,20210301,股票型,被动指数型,中证细分化工产业主题指数收益率,0.5,0.1,2.72,20211231,,,,,,0.04830000000000001,-0.08709338929695702,-0.04300000000000004
516020.SH,化工ETF,华宝基金,20210226,股票型,被动指数型,中证细分化工产业主题指数收益率,0.5,0.1,4.54,20211231,,,,,,0.04499999999999993,-0.08736842105263153,-0.04630000000000001
516780.SH,稀土ETF,华泰柏瑞基金,20210226,股票型,被动指数型,中证稀土产业指数收益率,0.5,0.1,12.54,20211231,,,,,,0.4285000000000001,-0.16842842142107115,0.18789999999999996
159869.SZ,游戏ETF,华夏基金,20210225,股票型,被动指数型,中证动漫游戏指数收益率,0.5,0.1,5.01,20211231,,,,,,0.10610000000000008,-0.17141307295904537,-0.08350000000000002
516770.SH,游戏动漫ETF,华泰柏瑞基金,20210225,股票型,被动指数型,中证动漫游戏指数收益率,0.5,0.1,1.26,20211231,,,,,,0.09759999999999991,-0.1671829446064139,-0.08589999999999998
159867.SZ,畜牧ETF,鹏华基金,20210225,股票型,被动指数型,中证畜牧养殖指数收益率,0.5,0.1,4.29,20211231,,,,,,-0.11670000000000003,-0.034076757613494865,-0.14680000000000004
516010.SH,游戏ETF,国泰基金,20210225,股票型,被动指数型,中证动漫游戏指数收益率,0.5,0.1,4.9,20211231,,,,,,0.10329999999999995,-0.17248255234297102,-0.08699999999999997
159870.SZ,化工ETF,鹏华基金,20210223,股票型,被动指数型,中证细分化工产业主题指数收益率,0.5,0.1,8.09,20211231,,,,,,0.0045999999999999375,-0.08570575353374474,-0.08150000000000002
159863.SZ,光伏ETF基金,鹏华基金,20210222,股票型,被动指数型,中证光伏产业指数收益率,0.5,0.1,2.78,20211231,,,,,,0.6506000000000001,-0.14531079607415492,0.41074999999999995
516680.SH,有色ETF基金,建信基金,20210218,股票型,被动指数型,中证细分有色金属产业主题指数收益率,0.5,0.1,0.44,20211231,,,,,,0.12830000000000008,-0.10626606399007366,0.008399999999999963
516180.SH,光伏ETF平安,平安基金,20210209,股票型,被动指数型,中证光伏产业指数收益率,0.5,0.1,1.56,20211231,,,,,,0.39369999999999994,-0.14357465738681205,0.1936
517100.SH,沪深港500ETF,富国基金,20210209,股票型,被动指数型,中证沪港深500指数收益率,0.5,0.1,4.88,20211231,,,,,,-0.12429999999999997,-0.046134520954664825,-0.16469999999999996
159848.SZ,证券ETF基金,国联安基金,20210209,股票型,被动指数型,中证全指证券公司指数收益率,0.5,0.05,2.84,20211231,,,,,,0.16944281000000005,-0.08161101952475996,0.07400338999999989
516060.SH,创新药产业ETF,工银瑞信基金,20210209,股票型,被动指数型,中证创新药产业指数收益率,0.45,0.07,1.04,20211231,,,,,,-0.14549999999999996,-0.16746635459332943,-0.28859999999999997
516520.SH,智能驾驶ETF,华泰柏瑞基金,20210209,股票型,被动指数型,中证智能汽车主题指数收益率,0.5,0.1,1.8,20211231,,,,,,0.25259999999999994,-0.10793549417212198,0.11739999999999995
159855.SZ,影视ETF,银华基金,20210209,股票型,被动指数型,中证影视主题指数收益率,0.5,0.1,0.99,20211231,,,,,,0.11539999999999995,-0.15572888649811725,-0.05830000000000002
516600.SH,消费服务ETF,工银瑞信基金,20210209,股票型,被动指数型,中证消费服务领先指数收益率,0.45,0.07,1.45,20211231,,,,,,-0.20209999999999995,-0.10239378368216581,-0.28380000000000005
516000.SH,大数据50ETF,华夏基金,20210209,股票型,被动指数型,中证大数据产业指数收益率,0.5,0.1,0.59,20211231,,,,,,0.047800000000000065,-0.08646688299293759,-0.04279999999999995
159849.SZ,生物科技ETF招商,招商基金,20210208,股票型,被动指数型,中证生物科技主题指数收益率,0.5,0.1,1.26,20211231,,,,,,-0.14180000000000004,-0.1562572826846889,-0.27590000000000003
159857.SZ,光伏ETF,天弘基金,20210204,股票型,被动指数型,中证光伏产业指数收益率,0.5,0.1,11.73,20211231,,,,,,0.4242999999999999,-0.14870462683423435,0.2124999999999999
517300.SH,沪港深300ETF,国寿安保基金,20210204,股票型,被动指数型,中证沪港深300指数,0.5,0.1,25.13,20211231,,,,,,-0.1513,-0.05537881465771184,-0.19830000000000003
517000.SH,沪港深500ETF,银华基金,20210204,股票型,被动指数型,中证沪港深500指数收益率,0.5,0.1,7.33,20211231,,,,,,-0.13049999999999995,-0.04381828637147788,-0.16859999999999997
516660.SH,新能汽车ETF,华安基金,20210203,股票型,被动指数型,中证新能源汽车指数收益率,0.5,0.1,5.28,20211231,,,,,,0.4568000000000001,-0.10509335529928611,0.3037000000000001
515230.SH,软件ETF,国泰基金,20210203,股票型,被动指数型,中证全指软件指数收益率,0.5,0.1,2.85,20211231,,,,,,0.027099999999999902,-0.07837601012559625,-0.0534
516080.SH,创新药ETF易方达,易方达基金,20210203,股票型,被动指数型,中证创新药产业指数收益率,0.15,0.05,3.02,20211231,,,,,,-0.1099,-0.16593641163914172,-0.25760000000000005
159850.SZ,恒生国企ETF,华夏基金,20210201,股票型,被动指数型,恒生中国企业指数收益率(使用估值汇率折算),0.5,0.15,6.36,20211231,,,,,,-0.29400000000000004,-0.0036827195467421187,-0.2966
517080.SH,沪港深500ETF基金,汇添富基金,20210201,股票型,被动指数型,中证沪港深500指数收益率,0.15,0.05,6.78,20211231,,,,,,-0.12749999999999995,-0.04481375358166192,-0.16659999999999997
159839.SZ,生物药ETF,汇添富基金,20210201,股票型,被动指数型,国证生物医药指数收益率,0.5,0.1,3.42,20211231,,,,,,-0.21789999999999998,-0.16123257895409793,-0.344
159852.SZ,软件ETF,嘉实基金,20210129,股票型,被动指数型,中证软件服务指数收益率,0.5,0.1,3.08,20211231,,,,,,0.07519999999999993,-0.10026041666666657,-0.03259999999999996
516800.SH,智能制造ETF,华宝基金,20210129,股票型,被动指数型,中证智能制造主题指数收益率,0.5,0.1,3.99,20211231,,,,,,0.24180000000000001,-0.12103398292800781,0.09149999999999991
159841.SZ,证券ETF,天弘基金,20210128,股票型,被动指数型,中证全指证券公司指数收益率,0.5,0.1,42.72,20211231,,,,,,0.06610000000000005,-0.08357564956383084,-0.02300000000000002
513330.SH,恒生互联网ETF,华夏基金,20210126,股票型,被动指数型,恒生互联网科技业指数收益率(使用估值汇率折算),0.5,0.15,188.29,20211231,,,,,,-0.42989999999999995,-0.05420101736537456,-0.4608
159843.SZ,食品饮料ETF,招商基金,20210125,股票型,被动指数型,国证食品饮料行业指数收益率,0.5,0.1,2.72,20211231,,,,,,-0.044399999999999995,-0.11040184177480121,-0.14990000000000003
517050.SH,互联网50ETF,华泰柏瑞基金,20210125,股票型,被动指数型,中证沪港深互联网指数收益率,0.5,0.1,7.71,20211231,,,,,,-0.23670000000000002,-0.09694746495480146,-0.3107
517200.SH,互联网ETF,嘉实基金,20210125,股票型,被动指数型,中证沪港深互联网指数,0.5,0.1,1.95,20211231,,,,,,-0.2723,-0.0979799367871376,-0.3436
159856.SZ,互联网龙头ETF,工银瑞信基金,20210122,股票型,被动指数型,中证沪港深互联网指数收益率,0.45,0.07,4.95,20211231,,,,,,-0.28969999999999996,-0.09812755173870208,-0.35940000000000005
516160.SH,新能源ETF,南方基金,20210122,股票型,被动指数型,中证新能源指数收益率,0.15,0.05,26.31,20211231,,,,,,0.35830000000000006,-0.12029743061179414,0.19490000000000007
515910.SH,质量ETF,中金基金,20210121,股票型,被动指数型,MSCI中国A股国际质量指数收益率,0.3,0.05,3.87,20211231,,,,,,-0.13990000000000002,-0.12126496918962906,-0.24419999999999997
516050.SH,科技龙头ETF,工银瑞信基金,20210121,股票型,被动指数型,中证科技龙头指数收益率,0.45,0.07,7.54,20211231,,,,,,-0.09230000000000005,-0.12427013330395495,-0.20509999999999995
159837.SZ,生物科技ETF,易方达基金,20210114,股票型,被动指数型,中证生物科技主题指数收益率,0.15,0.05,17.67,20211231,,,,,,-0.1886,-0.15725905841754997,-0.31620000000000004
163418.SZ,兴全合兴,兴证全球基金,20210112,混合型,混合型,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合(全价)指数收益率*20%,1.5,0.25,78.81,20211231,,,,,,-0.0049000000000000155,-0.09958798110742635,-0.10399999999999998
515400.SH,大数据ETF,富国基金,20210107,股票型,被动指数型,中证大数据产业指数收益率,0.5,0.1,1.87,20211231,,,,,,-0.005600000000000049,-0.08688656476267088,-0.09199999999999997
516880.SH,光伏50ETF,银华基金,20210105,股票型,被动指数型,中证光伏产业指数收益率,0.5,0.1,12.76,20211231,李宜璇 王帅,,,,,0.4120999999999999,-0.14751079951844767,0.20379999999999998
515170.SH,食品饮料ETF,华夏基金,20201230,股票型,被动指数型,中证细分食品饮料产业主题指数收益率,0.5,0.1,35.45,20211231,徐猛,,,,0.00029999999999996696,-0.12056383085074471,-0.11049221325451865,-0.21750000000000003
515920.SH,智能消费ETF,博时基金,20201230,股票型,被动指数型,中证智能消费主题指数,0.5,0.1,3.16,20211231,,,,,0.00039999999999995595,-0.015493802479008355,-0.11219413138389689,-0.12560000000000004
513550.SH,港股通50ETF,华泰柏瑞基金,20201230,股票型,被动指数型,中证港股通50指数收益率(使用估值汇率折算),0.5,0.1,25.85,20211231,何琦 李茜,,,,0.00029999999999996696,-0.14895531340597823,0.012216609890755405,-0.13829999999999998
159828.SZ,医疗ETF,国泰基金,20201224,股票型,被动指数型,中证医疗指数收益率,0.5,0.1,13.9,20211231,梁杏,,,,-0.00019999999999997797,-0.15933186637327465,-0.17358715050565143,-0.3054
515710.SH,食品ETF,华宝基金,20201224,股票型,被动指数型,中证细分食品饮料产业主题指数收益率,0.5,0.1,11.58,20211231,蒋俊阳,,,,0.013900000000000023,-0.10148929874741097,-0.1091108671789243,-0.1884
515250.SH,智能汽车ETF,富国基金,20201224,股票型,被动指数型,中证智能汽车主题指数收益率,0.5,0.1,6.33,20211231,张圣贤,,,,0.004999999999999893,0.2047761194029853,-0.11182689131152972,0.07539999999999991
515290.SH,银行ETF天弘,天弘基金,20201211,股票型,被动指数型,中证银行指数收益率,0.5,0.1,84.75,20211231,陈瑶,,,,0.010299999999999976,-0.009700089082450788,0.0274862568715643,0.028000000000000025
159827.SZ,农业50ETF,银华基金,20201210,股票型,被动指数型,中证农业主题指数,0.5,0.1,1.91,20211231,王帅 马君,,,,0.02980000000000005,0.034375606913963755,-0.07388283890349219,-0.013499999999999956
159824.SZ,新能车ETF,博时基金,20201210,股票型,被动指数型,中证新能源汽车指数收益率,0.5,0.1,3.54,20211231,尹浩,,,,0.050000000000000044,0.4390476190476189,-0.10575777630708137,0.35119999999999996
159825.SZ,农业ETF,富国基金,20201210,股票型,被动指数型,中证农业主题指数收益率,0.5,0.1,26.1,20211231,张圣贤,,,,0.026499999999999968,-0.008085728202630272,-0.07523079945000982,-0.05840000000000001
515790.SH,光伏ETF,华泰柏瑞基金,20201207,股票型,被动指数型,中证光伏产业指数收益率,0.5,0.1,141.36,20211231,李沐阳 李茜,,,,0.13660000000000005,0.5023755058947739,-0.14944951979386278,0.4523999999999999
515120.SH,创新药ETF,广发基金,20201203,股票型,被动指数型,中证创新药产业指数,0.5,0.1,15.05,20211231,罗国庆,,,,0.026799999999999935,-0.09427347097779498,-0.16860215053763444,-0.2268
515320.SH,电子50ETF,华安基金,20201125,股票型,被动指数型,中证电子50指数收益率,0.5,0.1,2.32,20211231,许之彦,,,,0.009100000000000108,0.034287979387573046,-0.11497556769186558,-0.07630000000000003
510860.SH,兴业上证50ETF,兴业基金,20201113,股票型,被动指数型,上证50指数收益率,0.5,0.1,0.12,20211229,朱小明 那赛男,,,,0.02079999999999993,-0.020376175548589275,0.0,0.0
513300.SH,纳斯达克ETF,华夏基金,20201022,股票型,被动指数型,估值汇率调整后的纳斯达克100指数收益,0.6,0.2,5.6,20211231,赵宗庭,,,,0.06980000000000008,0.2305103757711721,-0.14456092373138857,0.1261000000000001
501206.SH,添富创新未来,汇添富基金,20201013,混合型,混合型,中证800指数收益率*55%+恒生指数收益率(使用估值汇率折算)*25%+中债综合指数收益率*20%,1.5,0.2,79.53,20211231,劳杰男,,,,0.07269999999999999,-0.0739256082781766,-0.08304811757600152,-0.08909999999999996
501207.SH,华夏创新未来,华夏基金,20201013,混合型,混合型,中证800指数收益率*70%+上证国债指数收益率*20%+经汇率调整的恒生指数收益率*10%,1.5,0.2,89.69,20211231,周克平,,,,0.10000000000000009,0.04036363636363636,-0.13587906326459287,-0.011099999999999999
501208.SH,中欧创新未来,中欧基金,20201009,混合型,混合型,中证800指数收益率*70%+银行活期存款利率(税后)*20%+恒生指数收益率*10%,1.5,0.2,112.46,20211231,刘金辉 周应波 邵洁,,,,0.10840000000000005,0.11079032840129918,-0.1391325536062378,0.059900000000000064
501205.SH,鹏华创新未来,鹏华基金,20200930,混合型,混合型,中证800指数收益率*70%+中证综合债指数收益率*20%+恒生指数收益率*10%(经汇率估值调整),1.5,0.2,58.65,20211231,王宗合,,,,0.0532999999999999,-0.2715275799867084,-0.08549459142447542,-0.2983
501203.SH,易方达创新未来,易方达基金,20200929,混合型,混合型,中证800指数收益率*65%+中债总指数收益率*20%+中证港股通综合指数收益率*15%,1.5,0.2,100.88,20211231,陈皓,,,,0.06479999999999997,0.1974079639368895,-0.11929411764705876,0.12290000000000001
159821.SZ,BOCI创业板ETF,中银证券,20200929,股票型,被动指数型,创业板指数收益率,0.15,0.05,0.37,20211231,张艺敏 计伟 阳桦,,,,0.10539999999999994,0.10738194318798629,-0.12400947634997136,0.07230000000000003
159822.SZ,新经济ETF,银华基金,20200929,股票型,被动指数型,标普中国新经济行业(A股上限)指数收益率,0.25,0.1,3.25,20211231,李宜璇 马君,,,,0.0693999999999999,-0.2920329156536375,-0.05996565843349623,-0.2883
588090.SH,科创板ETF,华泰柏瑞基金,20200928,股票型,被动指数型,上证科创板50成份指数收益率,0.5,0.1,29.52,20211231,柳军,,,,0.005192040000000064,0.007849942783072493,-0.12000275515502314,-0.10848997999999999
588050.SH,科创ETF,工银瑞信基金,20200928,股票型,被动指数型,上证科创板50成份指数收益率,0.5,0.1,48.04,20211231,赵栩,,,,-0.007410240000000012,0.010600955625413596,-0.12045849389364385,-0.11772121999999996
588000.SH,科创50ETF,华夏基金,20200928,股票型,被动指数型,上证科创板50成份指数收益率,0.5,0.1,206.89,20211231,张弘弢 荣膺,,,,-0.0027885899999999797,0.012117841692164254,-0.12027799074812036,-0.11210056999999995
588080.SH,科创板50ETF,易方达基金,20200928,股票型,被动指数型,上证科创板50成份指数收益率,0.5,0.1,109.99,20211231,成曦 林伟斌,,,,-0.0032143000000000033,0.01075420724835843,-0.1206536930116917,-0.11405390000000004
159823.SZ,H股ETF基金,嘉实基金,20200924,股票型,被动指数型,恒生中国企业指数收益率(使用估值汇率折算),0.15,0.05,0.61,20211231,高峰,,,,0.034399999999999986,-0.24719644238205726,-0.0006420958006933927,-0.2218
162720.SZ,广发创业板定开,广发基金,20200924,混合型,混合型,创业板指数收益率*80%+中债综合财富(总值)指数收益率*20%,1.5,0.25,11.12,20211231,,,,,0.01330000000000009,0.2461265173196485,-0.1298012196087748,0.0988
515530.SH,泰康中证500ETF,泰康资产,20200918,股票型,被动指数型,中证500指数收益率,0.4,0.05,0.64,20211231,魏军,,,,0.004900640000000012,0.17332628029772176,-0.10547796341565102,0.05470975999999994
515760.SH,浙江国资ETF,华夏基金,20200917,股票型,被动指数型,中证浙江国资创新发展指数收益率,0.45,0.05,2.47,20211231,赵宗庭,,,,0.0524,0.14367160775370583,-0.06829511465603194,0.12139999999999995
510370.SH,兴业沪深300ETF,兴业基金,20200911,股票型,被动指数型,沪深300指数收益率,0.5,0.1,0.13,20211231,朱小明 那赛男,,,,0.09610000000000007,-0.05574308913420322,-0.07468599033816418,-0.042300000000000004
