ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,manager,net_asset,ann_date,2017,2018,2019,2020,2021,2022,all
010669.OF,工银优选对冲C,工银瑞信基金,20201230,混合型,灵活配置型,中国人民银行公布的一年期定期存款基准利率(税后)+3%,1.2,0.2,游凛峰 陈小鹭,0.69,20211231,,,,0.0,0.060799999999999965,-0.01263197586726985,0.04740000000000011
010410.OF,长城品质成长A,长城基金,20201230,混合型,混合型,中证800指数收益率*70%+中债综合财富指数收益率*20%+中证港股通综合指数收益率*10%,1.5,0.25,何以广,33.29,20211231,,,,9.999999999998899e-05,-0.009399060093990564,-0.09619460987180786,-0.10460000000000003
011147.OF,创金合信气候变化C,创金合信基金,20201230,股票型,股票型,中证800指数收益率*80%+中债综合全价指数收益率*10%+恒生指数收益率*10%,1.5,0.25,曹春林,2.47,20211231,,,,0.0129999999999999,0.4956564659427444,-0.08428486568543327,0.38739999999999997
010137.OF,华泰柏瑞量化创享A,华泰柏瑞基金,20201230,混合型,混合型,创业板指数收益率*85%+上证科创板50成份指数收益率*10%+银行活期存款利率(税后)*5%,1.5,0.25,田汉卿 盛豪,3.29,20211231,,,,9.999999999998899e-05,0.06759324067593252,-0.09412756392245025,-0.03280000000000005
010772.OF,天弘国证消费100指数增强C,天弘基金,20201230,股票型,增强指数型,国证消费100指数收益率*95%+银行活期存款利率(税后)*5%,0.6,0.1,刘笑明 杨超,1.27,20211231,,,,0.001100000000000101,-0.01818000199780252,-0.11221894394139786,-0.12739999999999996
011143.OF,创金合信新材料新能源C,创金合信基金,20201230,股票型,股票型,中证全指一级行业能源指数收益率*45%+中证全指一级行业材料指数收益率*45%+中债综合指数收益率*10%,1.5,0.25,李游,2.63,20211231,,,,0.0006999999999999229,0.35375237333866305,-0.09360005905366503,0.2279
010963.OF,信达澳银周期动力,信达澳银基金,20201230,混合型,混合型,中证资源优选指数收益率*45%+中证先进制造100策略指数收益率*45%+中证港股通综合指数*5%+银行活期存款利率(税后)*5%,1.5,0.25,曾国富 李淑彦,31.57,20211231,,,,0.0,0.728,-0.13096064814814812,0.5017
010874.OF,泰康品质生活A,泰康资产,20201230,混合型,混合型,沪深300指数收益率*70%+中债新综合全价(总值)指数收益率*15%+恒生指数收益率*10%+金融机构人民币活期存款利率(税后)*5%,1.5,0.25,宋仁杰,7.42,20211231,,,,0.0016000000000000458,0.3828873801916932,-0.09226770630279396,0.2573000000000001
011000.OF,兴华瑞丰C,兴华基金,20201230,混合型,混合型,中债综合指数收益率*80%+沪深300指数收益率*20%,0.6,0.2,冷文鹏 吕智卓,0.05,20211231,,,,9.999999999998899e-05,0.03109689031096881,-0.027637703646237365,0.0026999999999999247
010872.OF,博时沪深300指数增强A,博时基金,20201230,股票型,增强指数型,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,0.8,0.15,刘钊 桂征辉,0.27,20211231,,,,-0.0008000000000000229,-0.13871096877501995,-0.06507088078085062,-0.19540000000000002
010875.OF,泰康品质生活C,泰康资产,20201230,混合型,混合型,沪深300指数收益率*70%+中债新综合全价(总值)指数收益率*15%+恒生指数收益率*10%+金融机构人民币活期存款利率(税后)*5%,1.5,0.25,宋仁杰,6.08,20211231,,,,0.0016000000000000458,0.37599840255591055,-0.09258453054709051,0.25059999999999993
010138.OF,华泰柏瑞量化创享C,华泰柏瑞基金,20201230,混合型,混合型,创业板指数收益率*85%+上证科创板50成份指数收益率*10%+银行活期存款利率(税后)*5%,1.5,0.25,田汉卿 盛豪,0.41,20211231,,,,0.0,0.06119999999999992,-0.09442140972483977,-0.039000000000000035
011146.OF,创金合信气候变化A,创金合信基金,20201230,股票型,股票型,中证800指数收益率*80%+中债综合全价指数收益率*10%+恒生指数收益率*10%,1.5,0.25,曹春林,1.87,20211231,,,,0.0129999999999999,0.5015794669299112,-0.08401814476365783,0.3933
010873.OF,博时沪深300指数增强C,博时基金,20201230,股票型,增强指数型,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,0.8,0.15,刘钊 桂征辉,0.07,20211231,,,,-0.0008000000000000229,-0.14131305044035228,-0.0652680652680652,-0.19799999999999995
011074.OF,鹏华安润C,鹏华基金,20201230,混合型,混合型,中证综合债指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%(经汇率估值调整),0.6,0.1,方昶,0.28,20211231,,,,0.0,0.05889999999999995,-0.019437283973935137,0.03831786000000004
010663.OF,长江均衡成长A,长江资管,20201230,混合型,混合型,沪深300指数收益率*70%+中证全债指数收益率*30%,1.5,0.2,徐婕,0.27,20211231,,,,0.0009999999999998899,0.10999000999001009,-0.10962109621096212,-0.010700000000000043
011073.OF,鹏华安润A,鹏华基金,20201230,混合型,混合型,中证综合债指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%(经汇率估值调整),0.6,0.1,方昶,3.19,20211231,,,,0.0,0.06220000000000003,-0.01925434004895494,0.0417480400000001
010643.OF,平安养老2025一年持有,平安基金,20201230,混合型,混合型,中债新综合(财富)指数收益率*69%+沪深300指数收益率*26%+同期银行活期存款利率*5%,0.6,0.15,张文君 高莺,5.76,20211231,,,,0.0,0.06840000000000002,-0.014039685511044668,0.05339999999999989
010664.OF,长江均衡成长C,长江资管,20201230,混合型,混合型,沪深300指数收益率*70%+中证全债指数收益率*30%,1.5,0.2,徐婕,0.06,20211231,,,,0.0009999999999998899,0.10549450549450565,-0.10988613771913974,-0.015000000000000013
010788.OF,华安优势企业C,华安基金,20201230,混合型,混合型,中证800指数收益率*65%+中债综合全价指数收益率*20%+恒生指数收益率(经汇率调整)*15%,1.5,0.25,杨明,2.78,20211231,,,,0.0,-0.08209999999999995,-0.09565312125503878,-0.16990000000000005
010737.OF,易方达沪深300精选增强C,易方达基金,20201230,股票型,增强指数型,沪深300指数收益率*95%+活期存款利率(税后)*5%,1.2,0.2,张胜记,8.07,20211231,,,,0.0,-0.09550000000000003,-0.08313985627418456,-0.17069999999999996
010762.OF,博时恒康一年持有A,博时基金,20201230,混合型,混合型,中债综合财富(总值)指数收益率*75%+沪深300指数收益率*15%+恒生综合指数收益率*5%+银行活期存款利率(税后)*5%,0.8,0.2,倪玉娟 陈伟,1.82,20211231,,,,0.0,0.03279999999999994,-0.007358636715724295,0.02519999999999989
010999.OF,兴华瑞丰A,兴华基金,20201230,混合型,混合型,中债综合指数收益率*80%+沪深300指数收益率*20%,0.6,0.2,冷文鹏 吕智卓,0.01,20211231,,,,9.999999999998899e-05,0.035296470352964814,-0.027235850878887385,0.007200000000000095
010763.OF,博时恒康一年持有C,博时基金,20201230,混合型,混合型,中债综合财富(总值)指数收益率*75%+沪深300指数收益率*15%+恒生综合指数收益率*5%+银行活期存款利率(税后)*5%,0.8,0.2,倪玉娟 陈伟,0.41,20211231,,,,0.0,0.024599999999999955,-0.008100722233066538,0.01629999999999998
010787.OF,华安优势企业A,华安基金,20201230,混合型,混合型,中证800指数收益率*65%+中债综合全价指数收益率*20%+恒生指数收益率(经汇率调整)*15%,1.5,0.25,杨明,43.62,20211231,,,,0.0,-0.0766,-0.09519168291098114,-0.16449999999999998
010736.OF,易方达沪深300精选增强A,易方达基金,20201230,股票型,增强指数型,沪深300指数收益率*95%+活期存款利率(税后)*5%,1.2,0.2,张胜记,19.15,20211231,,,,0.0,-0.0928,-0.08289241622574961,-0.16800000000000004
011117.OF,富国沪港深业绩驱动C,富国基金,20201229,混合型,混合型,中证港股通综合指数收益率*75%+同期银行活期存款利率(税后)*25%,1.5,0.25,宁君,1.68,20211231,,,,0.03693970646568823,-0.06230574283938214,-0.060836308006119416,-0.08682070606902025
011131.OF,富国沪港深价值精选C,富国基金,20201229,混合型,灵活配置型,沪深300指数收益率*45%+恒生指数收益率*45%+中债综合财富指数收益率*10%,1.5,0.25,汪孟海,0.58,20211231,,,,0.041739130434782515,-0.10562012799109628,-0.08630137234328972,-0.14869738550724637
580008.OF,东吴新产业精选A,东吴基金,20201229,股票型,股票型,中证新兴产业指数收益率*60%+恒生综合指数收益率*20%+中国债券综合全价指数收益率*20%,1.5,0.25,刘瑞,2.56,20211231,0.03531489111241897,-0.245025582717453,0.5707831325301203,0.6528763183125601,0.08642942080686783,-0.10032301983501961,0.983578575632725
011081.OF,国投瑞银港股通价值发现C,国投瑞银基金,20201229,混合型,混合型,恒生指数收益率(使用估值汇率折算)*80%+中债综合指数收益率*20%,1.5,0.25,刘扬 汤海波,0.15,20211231,,,,0.026212319790301464,-0.17088122605363992,0.032039433148490344,-0.12188728702490186
011124.OF,富国金融地产行业C,富国基金,20201229,混合型,混合型,中证金融地产行业指数收益率*80%+中债综合指数收益率*20%,1.5,0.25,吴畏,0.03,20211231,,,,0.030589022757697506,-0.09092680392284219,-0.01771808244623843,-0.07971887550200803
011082.OF,国投瑞银医疗保健行业C,国投瑞银基金,20201229,混合型,灵活配置型,中证医药卫生指数收益率*60%+中国债券总指数收益率*40%,1.5,0.25,吴默村 张佳荣,0.05,20211231,,,,0.01745313510019401,-0.04903029224904703,-0.14121258904640327,-0.1690655462184874
011151.OF,富国医疗保健行业C,富国基金,20201228,混合型,混合型,中证医药卫生指数收益率*80%+中债综合指数收益率*20%,1.5,0.25,孙笑悦,0.73,20211231,,,,0.016742455560148722,-0.06241105915836542,-0.16869037294015612,-0.20752377015295576
011084.OF,财通资管新添益6个月持有A,财通证券资管,20201228,混合型,混合型,中债综合指数收益率*75%+沪深300指数收益率*25%,0.6,0.1,辛晨晨 顾宇笛,0.1,20211231,,,,0.0,-0.025699999999999945,-0.012008621574463762,-0.03739999999999999
009503.OF,国寿安保创新医药C,国寿安保基金,20201228,股票型,股票型,中证医药卫生指数收益率*70%+中债综合(全价)指数收益率*20%+恒生医疗保健指数收益率*10%,1.2,0.2,刘志军,0.14,20211231,,,,0.0,-0.10899999999999999,-0.16408529741863073,-0.2552
009502.OF,国寿安保创新医药A,国寿安保基金,20201228,股票型,股票型,中证医药卫生指数收益率*70%+中债综合(全价)指数收益率*20%+恒生医疗保健指数收益率*10%,1.2,0.2,刘志军,0.38,20211231,,,,0.0,-0.10619999999999996,-0.16390691429850085,-0.25270000000000004
010071.OF,方正富邦ESG主题投资C,方正富邦基金,20201228,混合型,混合型,中证中财沪深100ESG领先指数收益率*70%+中债综合指数收益率*20%+恒生指数收益率*10%,0.8,0.1,吴昊 闻晨雨,0.57,20211231,,,,0.018299999999999983,0.11764705882352933,-0.06264827343818638,0.06679999999999997
010070.OF,方正富邦ESG主题投资A,方正富邦基金,20201228,混合型,混合型,中证中财沪深100ESG领先指数收益率*70%+中债综合指数收益率*20%+恒生指数收益率*10%,0.8,0.1,吴昊 闻晨雨,1.17,20211231,,,,0.018299999999999983,0.11941471079249723,-0.06254934643389765,0.0686
011125.OF,富国文体健康C,富国基金,20201228,股票型,普通股票型,中证800指数收益率*80%+中债综合指数收益率*20%,1.5,0.25,林庆,0.36,20211231,,,,0.013812154696132506,0.16394187102633978,-0.12524385485758882,0.03222836095764265
011085.OF,财通资管新添益6个月持有C,财通证券资管,20201228,混合型,混合型,中债综合指数收益率*75%+沪深300指数收益率*25%,0.6,0.1,辛晨晨 顾宇笛,0.0,20211231,,,,0.0,-0.021299999999999986,-0.011954633697762382,-0.03300000000000003
011113.OF,富国军工主题C,富国基金,20201228,混合型,混合型,中证军工指数收益率*80%+中债综合全价指数收益率*20%,1.5,0.25,章旭峰,7.67,20211231,,,,0.04730683881379873,0.1836656072426082,-0.18515052888527267,0.010137179745814004
011120.OF,富国创新科技C,富国基金,20201228,混合型,混合型,中证TMT产业主题指数*60%+中证全债指数收益率*40%,1.5,0.25,李元博,1.51,20211231,,,,0.04956035171862515,-0.07768469154607759,-0.12634186622625931,-0.15427657873701028
010808.OF,达诚策略先锋A,达诚基金,20201225,混合型,混合型,沪深300指数收益率*70%+恒生指数收益率(按估值汇率折算)*15%+中债-综合指数(全价)收益率*15%,1.5,0.25,王超伟,0.43,20211231,,,,0.012699999999999934,-0.11296534017971754,-0.0867193587888233,-0.17959999999999998
011060.OF,西部利得策略优选C,西部利得基金,20201225,混合型,混合型,沪深300指数收益率*80%+上证国债指数收益率*20%,1.5,0.25,何奇,0.65,20211231,,,,0.05596107055961066,0.11751152073732721,-0.033676975945017285,0.14030819140308176
007109.OF,南方沪港深核心优势,南方基金,20201225,混合型,混合型,经人民币汇率调整的恒生综合指数收益率*60%+上证国债指数收益率*30%+中证800指数收益率*10%,1.5,0.25,毕凯 黄亮,1.66,20211231,,,,0.0045999999999999375,-0.1824606808680071,0.009010105929623721,-0.1713
010744.OF,工银瑞信灵动价值A,工银瑞信基金,20201225,混合型,混合型,沪深300指数收益率*75%+中债综合财富(总值)指数收益率*20%+恒生指数收益率(经汇率调整)*5%,1.5,0.25,王筱苓,17.16,20211231,,,,0.0005999999999999339,0.006196282230661587,-0.07012316249503366,-0.06379999999999997
010745.OF,工银瑞信灵动价值C,工银瑞信基金,20201225,混合型,混合型,沪深300指数收益率*75%+中债综合财富(总值)指数收益率*20%+恒生指数收益率(经汇率调整)*5%,1.5,0.25,王筱苓,1.28,20211231,,,,0.0005999999999999339,0.0010993403957626434,-0.07058001397624038,-0.06899999999999995
010809.OF,达诚策略先锋C,达诚基金,20201225,混合型,混合型,沪深300指数收益率*70%+恒生指数收益率(按估值汇率折算)*15%+中债-综合指数(全价)收益率*15%,1.5,0.25,王超伟,0.47,20211231,,,,0.012699999999999934,-0.11484151278759748,-0.0869031682284694,-0.1815
011066.OF,大成高新技术产业C,大成基金,20201225,股票型,股票型,中证700指数收益率*80%+恒生指数收益率*10%+中证综合债指数收益率*10%,1.5,0.25,刘旭,9.13,20211231,,,,0.027552674230145856,0.2744479495268139,-0.08415841584158412,0.19935170178282016
010642.OF,农银汇理瑞祥一年持有,农银汇理基金,20201225,混合型,混合型,中证全债指数收益率*80%+沪深300指数收益率*20%,0.8,0.1,周宇,6.72,20211231,,,,0.00019999999999997797,0.06138772245550902,-0.03400527505651848,0.025500000000000078
010404.OF,博道盛利6个月持有,博道基金,20201224,混合型,混合型,中债综合全价(总值)指数收益率*75%+中证800指数收益率*20%+中证港股通综合指数(人民币)收益率*5%,0.8,0.15,张建胜 高凯,1.56,20211231,,,,0.0045999999999999375,0.03892096356758923,-0.034492670307559675,0.00770000000000004
920928.OF,中金进取回报C,中金公司,20201224,混合型,灵活配置型,中债新综合全价指数收益率*55%+中证800指数收益率*35%+恒生指数收益率*5%+金融机构人民币活期存款基准利率(税后)*5%,1.5,0.2,李飞,1.55,20211231,,,,,-0.10005750431282345,-0.07020766773162947,-0.16324036802760214
010274.OF,嘉实价值长青C,嘉实基金,20201224,混合型,混合型,沪深300指数收益率*65%+中债综合财富指数收益率*20%+恒生指数收益率*15%,1.5,0.25,谭丽,4.63,20211231,,,,0.011300000000000088,-0.04617818649263331,-0.032759693137051585,-0.06699999999999995
010644.OF,富国全球健康生活人民币,富国基金,20201224,混合型,混合型,中证健康产业指数收益率*45%+中证海外中国内地企业互联互通医药卫生指数收益率*45%+人民币活期存款利率(税后)*10%,1.8,0.35,宁君 张峰,2.98,20211231,,,,0.0040999999999999925,-0.10925206652723835,-0.13528622540250448,-0.22660000000000002
010273.OF,嘉实价值长青A,嘉实基金,20201224,混合型,混合型,沪深300指数收益率*65%+中债综合财富指数收益率*20%+恒生指数收益率*15%,1.5,0.25,谭丽,50.29,20211231,,,,0.011400000000000077,-0.042317579592643914,-0.03252116456741686,-0.06289999999999996
010645.OF,富国全球健康生活美元,富国基金,20201224,混合型,混合型,中证健康产业指数收益率*45%+中证海外中国内地企业互联互通医药卫生指数收益率*45%+人民币活期存款利率(税后)*10%,1.8,0.35,宁君 张峰,0.47,20211231,,,,0.005882352941176549,-0.08836907082521117,-0.13043478260869573,-0.20261437908496732
920008.OF,中金进取回报A,中金公司,20201224,混合型,灵活配置型,中债新综合全价指数收益率*55%+中证800指数收益率*35%+恒生指数收益率*5%+金融机构人民币活期存款基准利率(税后)*5%,1.5,0.2,李飞,2.57,20211231,0.05821549452689363,-0.0715105043552611,0.2314628071874292,0.20168777658307416,-0.058722192931592976,-0.06986552016686451,0.27288606644740565
010571.OF,新沃创新领航C,新沃基金,20201224,混合型,混合型,沪深300指数收益率*70%+中证综合债指数收益率*30%,1.5,0.15,陈乐华,0.56,20211231,,,,-9.999999999998899e-05,0.15561556155615558,-0.12237126784941582,0.014100000000000001
010570.OF,新沃创新领航A,新沃基金,20201224,混合型,混合型,沪深300指数收益率*70%+中证综合债指数收益率*30%,1.5,0.15,陈乐华,0.35,20211231,,,,0.0,0.16149999999999998,-0.1219974171330176,0.01980000000000004
009727.OF,招商中证500等权重指数增强C,招商基金,20201223,股票型,增强指数型,中证500等权重指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,1.2,0.25,王平,0.53,20211231,,,,0.01540000000000008,0.27378373054953714,-0.08179990722127733,0.1876
010739.OF,大成优选升级一年持有期C,大成基金,20201223,混合型,混合型,沪深300指数收益率*60%+中证综合债券指数收益率*30%+恒生指数收益率*10%,1.5,0.25,戴军,0.12,20211231,,,,0.006000000000000005,-0.060139165009940355,-0.041353781068217896,-0.09360000000000002
010782.OF,兴业聚申一年持有C,兴业基金,20201223,混合型,混合型,中债综合(全价)指数收益率*80%+沪深300指数收益率*20%,1.0,0.2,腊博,1.19,20211231,,,,0.0052000000000000934,0.06635495423796257,-0.023789532605653585,0.0464
011068.OF,华宝资源优选C,华宝基金,20201223,混合型,混合型,中证内地资源主题指数收益率*80%+上证国债指数收益率*20%,1.5,0.25,丁靖斐 蔡目荣,6.38,20211231,,,,0.03384872544922708,0.3884397736459175,-0.0666666666666667,0.3397409109903887
010738.OF,大成优选升级一年持有期A,大成基金,20201223,混合型,混合型,沪深300指数收益率*60%+中证综合债券指数收益率*30%+恒生指数收益率*10%,1.5,0.25,戴军,4.77,20211231,,,,0.006099999999999994,-0.05635622701520721,-0.04107857594270069,-0.08960000000000001
010613.OF,中融产业趋势一年定开A,中融基金,20201223,混合型,混合型,沪深300指数收益率*70%+中债综合指数收益率*20%+恒生指数收益率*10%,1.5,0.25,甘传琦,3.11,20210331,,,,0.005600000000000049,0.24433174224343676,-0.14720690481898835,0.06709999999999994
010614.OF,中融产业趋势一年定开C,中融基金,20201223,混合型,混合型,沪深300指数收益率*70%+中债综合指数收益率*20%+恒生指数收益率*10%,1.5,0.25,甘传琦,0.35,20210331,,,,0.005400000000000071,0.2344340560970758,-0.14777213761985336,0.057700000000000085
010781.OF,兴业聚申一年持有A,兴业基金,20201223,混合型,混合型,中债综合(全价)指数收益率*80%+沪深300指数收益率*20%,1.0,0.2,腊博,4.52,20211231,,,,0.005400000000000071,0.07270738014720503,-0.023365785813630146,0.0532999999999999
009859.OF,银华乐享,银华基金,20201223,混合型,混合型,中证800指数收益率*60%+恒生指数收益率(使用估值汇率调整)*20%+中债综合指数收益率*20%,1.5,0.25,王翔,5.88,20211231,,,,0.0051000000000001044,0.07282857427121672,-0.16544560882871187,-0.10009999999999997
008300.OF,人保量化锐进A,人保资产,20201223,混合型,混合型,中证500指数收益率*45%+创业板指数收益率*40%+中债综合全价指数收益率*10%+商业银行活期存款利率*5%,1.5,0.25,张永超 石晓冉,0.16,20211231,,,,-9.999999999998899e-05,0.001800180018001824,-0.10492163322352009,-0.10340000000000005
008301.OF,人保量化锐进C,人保资产,20201223,混合型,混合型,中证500指数收益率*45%+创业板指数收益率*40%+中债综合全价指数收益率*10%+商业银行活期存款利率*5%,1.5,0.25,张永超 石晓冉,0.07,20211231,,,,-0.00019999999999997797,-0.003400680136027275,-0.10527900441589723,-0.10850000000000004
010916.OF,交银施罗德臻选回报,交银施罗德基金,20201223,混合型,混合型,中证综合债券指数收益率*75%+沪深300指数收益率*20%+恒生指数收益率*5%,0.6,0.15,王艺伟,8.76,20211231,,,,0.0021999999999999797,0.07972460586709249,-0.014416412531189407,0.0665
009726.OF,招商中证500等权重指数增强A,招商基金,20201223,股票型,增强指数型,中证500等权重指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,1.2,0.25,王平,0.96,20211231,,,,0.015600000000000058,0.28397006695549426,-0.08128834355828228,0.19799999999999995
009837.OF,华夏磐锐一年定开A,华夏基金,20201222,混合型,混合型,中证800指数收益率*70%+中债综合指数收益率*30%,0.6,0.2,张城源,3.39,20210930,,,,9.999999999998899e-05,0.296070392960704,-0.023607467983335875,0.26560000000000006
010865.OF,泓德卓远C,泓德基金,20201222,混合型,混合型,中证800指数收益率*70%+中国债券综合全价指数收益率*20%+中证港股通综合指数收益率*10%,1.5,0.25,邬传雁,16.38,20211231,,,,0.017200000000000104,-0.18816358631537564,-0.1051101961734076,-0.261
010820.OF,安信稳健回报6个月持有C,安信基金,20201222,混合型,混合型,中债综合指数收益率*75%+沪深300指数收益率*15%+恒生指数收益率(经汇率调整)*10%,0.8,0.2,潘巍 钟光正,0.6,20211231,,,,0.0012000000000000899,0.0671194566520175,-0.012542119056533208,0.05499999999999994
010536.OF,泰康优势企业A,泰康资产,20201222,混合型,混合型,沪深300指数收益率*75%+中债新综合全价(总值)指数收益率*15%+恒生指数收益率*10%,1.5,0.25,桂跃强,17.31,20211231,,,,0.010299999999999976,-0.11174898544986638,-0.06307109427234231,-0.1592
009838.OF,华夏磐锐一年定开C,华夏基金,20201222,混合型,混合型,中证800指数收益率*70%+中债综合指数收益率*30%,0.6,0.2,张城源,0.14,20210930,,,,0.0,0.29089999999999994,-0.023936788287241405,0.26
010594.OF,广发睿选三年持有,广发基金,20201222,混合型,混合型,沪深300指数收益率*55%+中证全债指数收益率*25%+人民币计价的恒生指数收益率*20%,1.5,0.25,苗宇,9.35,20211231,,,,0.02059999999999995,-0.030962179110327222,-0.08725985844287164,-0.09730000000000005
010537.OF,泰康优势企业C,泰康资产,20201222,混合型,混合型,沪深300指数收益率*75%+中债新综合全价(总值)指数收益率*15%+恒生指数收益率*10%,1.5,0.25,桂跃强,3.08,20211231,,,,0.010099999999999998,-0.116028116028116,-0.06350095195430616,-0.16379999999999995
010405.OF,惠升医药健康6个月持有,惠升基金,20201222,混合型,混合型,中信医药指数收益率*60%+恒生医疗保健指数收益率*20%+中债综合全价指数收益率*20%,1.5,0.15,张一甫,14.82,20211231,,,,0.0004999999999999449,-0.13723138430784607,-0.12418906394810006,-0.244
010746.OF,富安达长三角区域主题,富安达基金,20201222,混合型,混合型,中证长三角领先指数收益率*70%+中债总指数收益率*30%,1.5,0.25,吴战峰,1.3,20211231,,,,0.004999999999999893,0.17532338308457726,-0.08940060954961068,0.07559999999999989
010551.OF,淳厚欣颐一年持有,淳厚基金,20201222,混合型,混合型,沪深300指数收益率*50%+中债综合全价(总值)指数收益率*30%+经人民币汇率调整的中证港股通综合指数收益率*20%,1.5,0.2,王晓明 薛莉丽,5.13,20211231,,,,0.011300000000000088,0.22930881044200532,-0.08848133848133856,0.13319999999999999
010819.OF,安信稳健回报6个月持有A,安信基金,20201222,混合型,混合型,中债综合指数收益率*75%+沪深300指数收益率*15%+恒生指数收益率(经汇率调整)*10%,0.8,0.2,潘巍 钟光正,1.29,20211231,,,,0.0013000000000000789,0.0736043143912912,-0.012093023255813861,0.062000000000000055
010864.OF,泓德卓远A,泓德基金,20201222,混合型,混合型,中证800指数收益率*70%+中国债券综合全价指数收益率*20%+中证港股通综合指数收益率*10%,1.5,0.25,邬传雁,36.04,20211231,,,,0.017400000000000082,-0.18163947316689608,-0.10461205861157813,-0.25449999999999995
011061.OF,广发安悦回报C,广发基金,20201221,混合型,灵活配置型,中证全债指数收益率*70%+沪深300指数收益率*30%,0.6,0.1,谢军,6.63,20211231,,,,0.006958879349299629,0.048396463830550955,-0.0019059117507231672,0.053680072300045116
