ts_code,name,management,fund_type,found_date,m_fee,c_fee,benchmark,invest_type,market,manager,net_asset,ann_date,2017,2018,2019,2020,2021,2022,all
167508.SZ,安信价值发现定开,安信基金,混合型,20200430,1.5,0.25,沪深300指数收益率*70%+中债总指数(全价)收益率*25%+恒生指数收益率*5%,混合型,E,张明 陈一峰,3.36,20221231,,,,0.34329999999999994,0.06655251991364561,-0.07810427863474566,0.3208
450011.OF,国富研究精选,国海富兰克林基金,混合型,20120522,1.5,0.25,沪深300指数收益率*80%+中债国债总指数(全价)收益率*20%,混合型,O,徐荔蓉,6.49,20220930,0.12321144674085853,-0.1670205237084218,0.5573491928632115,0.6001091107474086,0.23661779747698602,-0.1734215605183346,1.3831478537360893
450001.OF,国富中国收益,国海富兰克林基金,混合型,20050601,1.38,0.25,中债国债总指数(全价)*55%+沪深300指数*40%+同业存款息率*5%,混合型,O,徐荔蓉,20.62,20220930,0.09505256825278594,-0.10454985479186833,0.3959783637691747,0.5267261808388551,0.18367187381585537,-0.09157798947571925,1.246931059672845
450009.OF,国富中小盘,国海富兰克林基金,股票型,20101123,1.5,0.25,中证700指数收益率*90%+银行同业存款利率*10%,股票型,O,赵晓东,35.14,20220930,0.2439123790117168,-0.16835940699483995,0.4452650957797804,0.5375615766756849,0.11333600427591334,-0.07014388598038161,1.3798386092715231
501071.SH,泓德丰泽LOF,泓德基金,混合型,20190328,1.5,0.25,中证800指数收益率*70%+中国债券综合全价指数收益率*30%,灵活配置型,E,邬传雁,4.03,20221231,,,0.25970000000000004,0.7696496705564817,-0.14147189244720004,-0.1477258071580912,0.6311289099999999
002307.OF,银华多元视野,银华基金,混合型,20160519,1.5,0.25,沪深300指数收益率*50%+中债综合指数收益率*50%,灵活配置型,O,贾鹏 郭思捷,1.64,20220930,0.1983161833489242,-0.18423106947697113,0.45550239234449763,0.8474687705456938,0.09964412811387893,-0.2983818770226536,1.028063610851263
501022.SH,银华鑫盛LOF,银华基金,混合型,20161014,1.5,0.25,沪深300指数收益率*50%+中国债券总指数收益率*50%,灵活配置型,E,王海峰,41.87,20220930,-0.10089910089910077,-0.14555555555555555,0.47074122236671,0.7541998231653404,0.266633064516129,-0.1329088738559491,1.176823176823177
007802.OF,兴全合泰A,兴证全球基金,混合型,20191017,1.5,0.25,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合(全价)指数收益率*20%,混合型,O,任相栋,66.03,20220930,,,0.0774999999999999,0.514988399071926,0.2409335947071796,-0.24598904082539366,0.5274000000000001
163406.SZ,兴全合润LOF,兴证全球基金,混合型,20100422,1.5,0.25,沪深300指数*80%+中证国债指数*20%,混合型,E,谢治宇,252.62,20220930,0.27732323412769294,-0.25539768690739234,0.6285143500193022,0.7516007380996791,0.06324486732943545,-0.2692977917970776,1.1081050162563861
002628.OF,招商安博A,招商基金,混合型,20160525,1.5,0.25,沪深300指数收益率*50%+中债综合指数收益率*50%,灵活配置型,O,张西林,0.98,20221231,0.025075225677031115,-0.04378060724779625,0.39584186808684957,0.5741433707535403,0.05099282185140298,-0.14147596239134289,0.9416248746238716
003165.OF,鹏华弘嘉A,鹏华基金,混合型,20160819,0.6,0.2,中证综合债指数收益率*50%+沪深300指数收益率*50%,灵活配置型,O,汤志彦,0.82,20220930,0.04543160020191826,-0.10400772573635936,0.42187499999999983,0.5056460780598712,0.28252881663059354,-0.11801412872841442,1.2688541140837961
160919.SZ,产业升级LOF,大成基金,股票型,20141226,1.5,0.25,沪深300指数收益率*80%+中证综合债券指数收益率*20%,股票型,E,李林益,3.3,20221231,0.11472448219906776,-0.23238866299903504,0.5400843844093384,0.6294520598284692,0.34005884658713853,-0.14648682531509558,1.4579945862747516
240022.OF,华宝资源优选A,华宝基金,混合型,20120821,1.5,0.25,中证内地资源主题指数收益率*80%+上证国债指数收益率*20%,混合型,O,丁靖斐 蔡目荣,12.44,20220930,0.24670947030497584,-0.18436976953778808,0.3118406471981059,0.6023316076671825,0.39369442483288003,-0.10237818939180993,1.6739483547351524
162605.SZ,景顺鼎益LOF,景顺长城基金,混合型,20050316,1.5,0.25,沪深300指数*80%+银行同业存款利率*20%,混合型,E,刘彦春,172.47,20220930,0.5551761082094547,-0.1677395048439181,0.6903830373656505,0.9303370791124875,-0.10005193267286955,-0.1354729728389058,2.2858910439266102
160133.SZ,南方天元LOF,南方基金,股票型,20140703,1.5,0.25,沪深300指数收益率*80%+上证国债指数收益率*20%,股票型,E,蒋秋洁,13.35,20220930,0.30842163970998343,-0.159041394335512,0.517646760484098,0.6092990997843264,-0.083872360119534,-0.18851494337310976,0.9988784842287911
005267.OF,嘉实价值精选,嘉实基金,股票型,20171106,1.5,0.25,沪深300指数收益率*45%+恒生指数收益率*45%+中债综合财富指数收益率*10%,股票型,O,谭丽,46.95,20220930,0.032399999999999984,-0.17590081363812474,0.42495883321571404,0.7148163433759802,0.02469314079422378,-0.08680947012401356,0.944
040035.OF,华安逆向策略A,华安基金,混合型,20120816,1.5,0.25,沪深300指数收益率*80%+中国债券总指数收益率*20%,混合型,O,万建军,57.83,20220930,0.010935795439427319,-0.23214191714481225,0.6553107561527385,0.810000000828294,0.2650308736492397,-0.23301220331614633,1.2565877471197084
001651.OF,工银瑞信新蓝筹A,工银瑞信基金,股票型,20150806,1.5,0.25,沪深300指数收益率*80%+中债综合财富指数收益率*20%,股票型,O,王筱苓,3.65,20220930,0.30169172932330823,-0.16690751445086696,0.3781439722463139,0.6217747010698552,0.09196740395809085,-0.17093105899076044,1.1926691729323309
501046.SH,财通福鑫定开混合,财通基金,混合型,20171023,1.5,0.25,沪深300指数收益率*55%+上证国债指数收益率*45%,灵活配置型,E,金梓才,2.82,20220930,0.014399999999999968,-0.15914020903174916,0.7191933403681556,0.5708245243128965,0.1604654191811747,-0.09368102061431403,1.4224999999999999
001603.OF,易方达安盈回报,易方达基金,混合型,20170216,0.9,0.25,中债新综合指数收益率*70%+沪深300指数收益率*25%+金融机构人民币活期存款基准利率(税后)*5%,混合型,O,张清华,25.59,20220930,0.2230000000000001,-0.16107931316435,0.4454191033138402,0.5542818610923803,0.19532091106290655,-0.14998036632136144,1.3419865899999999
673020.OF,西部利得成长精选,西部利得基金,混合型,20150602,0.7,0.15,三年期银行定期存款利率(税后),灵活配置型,O,陈保国,1.42,20220930,0.14087513340448227,-0.08325537885874647,0.2653061224489796,0.30806451612903235,0.20221948212083837,-0.14256410256410257,0.7844183564567768
000652.OF,博时裕隆A,博时基金,混合型,20140603,1.5,0.25,沪深300指数收益率*75%+中证全债指数收益率*25%,灵活配置型,O,陈鹏扬,18.55,20220930,0.020054424988168507,-0.08212028069361477,0.5054853351867061,0.5355450226027134,0.11633428293735792,-0.2099106754706726,0.9090559571699006
163001.SZ,长信医疗LOF,长信基金,混合型,20100326,1.5,0.25,中证医药卫生指数收益率*60%+中国债券总指数收益率*40%,灵活配置型,E,左金保,1.88,20220930,-0.059713117414162305,-0.2089459515427626,0.5753671989528798,0.7532923610302528,0.08162243467559911,-0.3245370373291181,0.5009972674758228
160632.SZ,酒LOF,鹏华基金,股票型,20150429,1.0,0.22,中证酒指数收益率*95%+商业银行活期存款利率(税后)*5%,被动指数型,E,张羽翔,37.38,20220930,0.48734780307040765,-0.23725615746013673,0.8369806932904731,1.1795753871649761,-0.03435427398872593,-0.10865874371106855,2.913334346214928
160633.SZ,券商LOF,鹏华基金,股票型,20150506,1.0,0.22,中证全指证券公司指数收益率*95%+商业银行活期存款利率(税后)*5%,被动指数型,E,陈龙,11.95,20220930,-0.09643916913946586,-0.253379273855136,0.48207431345104373,0.21905140989353913,-0.026294164948351177,-0.24641350084372776,-0.10564421364985169
161028.SZ,新能源车LOF,富国基金,股票型,20150330,1.0,0.22,中证新能源汽车指数收益率*95%+银行人民币活期存款利率(税后)*5%,被动指数型,E,张圣贤 牛志冬,88.17,20220930,0.03903625622610919,-0.35506491638795995,0.42625513267545706,0.9605571215306781,0.384542883057839,-0.2750170199572944,0.880865099038573
161121.SZ,银行LOF易方达,易方达基金,股票型,20200807,0.5,0.1,中证银行指数收益率*95%+活期存款利率(税后)*5%,被动指数型,E,刘树荣,11.54,20220930,0.15247548433389135,-0.13092644465193484,0.2481203007518798,0.07075922738573326,0.006072512948740972,-0.04029824249955628,0.292992107151399
160517.OF,博时中证银行,博时基金,股票型,20200806,0.5,0.15,中证银行指数收益率*95%+金融机构人民币活期存款基准利率(税后)*5%,被动指数型,O,赵云阳,7.74,20220930,0.1805588166236206,-0.13314109575420108,0.26654432847803655,0.11147333152223127,0.01613166042040088,-0.03720333547145606,0.4097205916881898
161723.OF,招商中证银行指数A,招商基金,股票型,20150520,1.0,0.2,中证银行指数收益率*95%+金融机构人民币活期存款基准利率(税后)*5%,被动指数型,O,侯昊,13.67,20221231,0.1888657076973757,-0.11535974877620764,0.31067551403820065,0.0475968618194422,0.0064822775846504425,-0.04070416267445133,0.3947088942571648
163407.SZ,兴全沪深300LOF,兴证全球基金,股票型,20101102,0.8,0.15,沪深300指数*95%+同业存款利率*5%,增强指数型,E,申庆,42.4,20220930,0.3182078853046595,-0.1695486677542143,0.39219537746349764,0.28702440859709355,-0.06365563107505677,-0.1400249765844521,0.5796415770609317
162216.SZ,泰达500增强LOF,泰达宏利基金,股票型,20191106,1.0,0.2,中证500指数收益率*95%+1年期定期存款利率(税后)*5%,增强指数型,E,刘洋,2.78,20221231,,,0.07991535318685322,0.3499154339055872,0.18211969221720312,-0.1926554018289353,0.39128683039767576
515950.SH,医药龙头ETF,富国基金,股票型,20200316,0.5,0.1,中证医药50指数收益率,被动指数型,E,王乐乐,4.98,20220930,,,,0.6902999999999999,-0.060521800863751904,-0.22600755667506295,0.22910000000000008
561310.SH,消电ETF,国泰基金,股票型,20211110,0.5,0.1,中证消费电子主题指数收益率,被动指数型,E,黄岳,1.04,20220930,,,,,0.007900000000000018,-0.37870820517908527,-0.3738
512520.SH,MSCIETF,华泰柏瑞基金,股票型,20180426,0.15,0.05,MSCI中国A股国际通指数收益率,被动指数型,E,柳军,5.78,20220930,,-0.1845,0.4187101520353115,0.4508685506870625,0.059030259709316156,-0.17868483041790875,0.46021624000000005
100061.OF,富国中国中小盘人民币,富国基金,混合型,20120904,1.6,0.3,中证香港中国中小综合指数收益率*80%+香港三个月期银行同业拆借利率(Hong Kong 3-Month Interbank Offer Rate)*20%,混合型,O,张峰,35.11,20220930,0.2897730456710564,-0.13334202294056316,0.2074048774311183,0.5240492136543687,-0.08733944762419385,-0.104945717615795,0.6631413505183527
262001.OF,景顺长城大中华人民币A,景顺长城基金,混合型,20110922,1.8,0.35,摩根斯坦利金龙净总收益指数(MSCI Golden Dragon Net Total Return Index),混合型,O,周寒颖,9.42,20220930,0.3013709485696173,-0.08141517476555848,0.2563518545648265,0.6220628905127855,-0.15212810858673134,-0.06560636137697035,0.9213094777716143
000934.OF,国富大中华精选人民币,国海富兰克林基金,混合型,20150203,1.5,0.27,MSCI金龙净总收益指数(MSCI Golden Dragon Net Total Return Index)*60%+同期人民币一年期定期存款利率(税后)*40%,混合型,O,徐成,19.83,20220930,0.39330543933054407,-0.14264264264264276,0.38447971781305135,0.6318471337579616,-0.020686963309914107,-0.22080510163411712,1.0449790794979081
501053.SH,东方红目标优选,东证资管,混合型,20171218,0.7,0.2,中债综合指数收益率*80%+沪深300指数收益率*20%,混合型,E,孔令超 徐觅,7.57,20220930,0.0005999999999999339,0.02289313206038203,0.1566382283926477,0.09924084469375138,0.06866934409925089,-0.010339488445553855,0.37534201999999994
169106.SZ,东方红创优定开,东证资管,混合型,20180322,0.7,0.2,中债综合指数收益率*80%+沪深300指数收益率*20%,混合型,E,孔令超 陈觉平,13.62,20220930,,0.01970000000000005,0.15185597959383879,0.10408479168661125,0.043298289926142944,-0.012139000633960414,0.3360015700000001
002361.OF,国富恒瑞A,国海富兰克林基金,债券型,20160204,0.7,0.1,中债综合全价指数收益率*90%+沪深300指数收益率*10%,债券型,O,赵晓东,47.74,20220930,0.06050895381715366,0.01928546036260225,0.09816286511465684,0.07793273174733394,0.06621004566210047,0.0014275517487509013,0.3662522431668239
000171.OF,易方达裕丰回报A,易方达基金,债券型,20130823,0.4,0.1,中债新综合财富指数收益率*90%+沪深300指数收益率*10%,债券型,O,张清华 张雅君,326.22,20220930,0.08632596685082873,0.04322949777495236,0.11761121267519808,0.12540894220283533,0.0621916618217053,-0.040069685703911846,0.45339521408839784
161115.SZ,易基岁丰添利LOF,易方达基金,债券型,20101109,0.3,0.1,中债新综合财富指数,债券型,E,张凯頔 胡剑,108.14,20220930,0.01645310864037489,0.015009564918820908,0.14678201953767292,0.11700064284139688,0.07177318210178953,0.015657891537368185,0.4375639976068205
161015.SZ,富国天盈LOF,富国基金,债券型,20140523,0.7,0.2,中债综合指数,债券型,E,俞晓斌,17.07,20220930,0.02083848117947459,0.05809262546393403,0.07994436480097614,0.046673561547914966,0.06805718170074834,0.013973065236309153,0.3222521456222716
161014.SZ,富国汇利定开,富国基金,债券型,20171211,0.5,0.15,中债综合指数收益率,债券型,E,张洋 黄纪亮,12.85,20220930,0.0013986013986014515,0.08381449059415147,0.07746497937435552,0.0455984891583231,0.06825853572109727,0.011007561193424033,0.320095337995338
160618.SZ,鹏华丰泽LOF,鹏华基金,债券型,20141208,0.7,0.2,中债总指数收益率,债券型,E,祝松 邓明明,9.64,20220930,0.018617021276595862,0.1088850174216028,0.04748427672955975,0.02371660162113485,0.04897360703812314,0.012859938495946303,0.28475177304964555
161911.SZ,万家强化收益定开,万家基金,债券型,20130507,0.7,0.2,三年期银行定期存款收益率(税后),债券型,E,陈奕雯,3.09,20220930,0.02528541874185897,0.08408700201808791,0.053468909880714434,0.03499153802128052,0.04625839915628311,0.015995199389962866,0.2879624243353001
008383.OF,招商安心收益A,招商基金,债券型,20191128,0.7,0.2,中债综合全价(总值)指数收益率,收益型,O,马龙,76.36,20221231,,,0.006826378155589866,0.03837789433286431,0.0632006899100653,0.022653534183082222,0.13672076249356
217022.OF,招商产业A,招商基金,债券型,20120321,0.7,0.2,三年期银行定期存款收益率(税后),债券型,O,马龙,149.96,20221231,0.030226043905934467,0.08726743450196171,0.06710356789476747,0.04169514577646145,0.06496063090044381,0.025878001679297307,0.35921528239202655
161716.SZ,招商双债LOF,招商基金,债券型,20150302,0.6,0.2,中债综合指数收益率*60%+天相可转债指数收益率*40%,债券型,E,刘万锋,82.04,20221231,0.027855153203342645,0.09304426377597108,0.06451612903225794,0.031857031857031974,0.06325301204819266,0.019830028328611915,0.3370473537604457
