ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,manager,net_asset,ann_date,2022
000171.OF,易方达裕丰回报,易方达基金,20130823,债券型,债券型,中债新综合财富指数收益率*90%+沪深300指数收益率*10%,0.4,0.1,张清华 张雅君,326.22,20220930,-4.01%
161121.SZ,银行LOF易方达,易方达基金,20200807,股票型,被动指数型,中证银行指数收益率*95%+活期存款利率(税后)*5%,0.5,0.1,刘树荣,11.54,20220930,-4.03%
161723.OF,招商中证银行指数A,招商基金,20150520,股票型,被动指数型,中证银行指数收益率*95%+金融机构人民币活期存款基准利率(税后)*5%,1,0.2,侯昊,13.72,20220930,-4.07%
160125.SZ,南方香港LOF,南方基金,20110926,股票型,股票型,经人民币汇率调整的恒生指数收益率*95%+人民币同期活期存款利率*5%,1.6,0.3,熊潇雅,2.01,20220930,-6.08%
262001.OF,景顺长城大中华人民币,景顺长城基金,20110922,混合型,混合型,摩根斯坦利金龙净总收益指数(MSCI Golden Dragon Net Total Return Index),1.8,0.35,周寒颖,9.42,20220930,-6.56%
110027.OF,易方达安心回报A,易方达基金,20110621,债券型,债券型,三年期银行定期存款收益率(税后)+1.0%,0.7,0.2,张清华,153.06,20220930,-6.84%
450009.OF,国富中小盘,国海富兰克林基金,20101123,股票型,股票型,中证700指数收益率*90%+银行同业存款利率*10%,1.5,0.25,赵晓东,35.14,20220930,-7.01%
166020.OF,中欧成长优选回报A,中欧基金,20130821,混合型,灵活配置型,金融机构人民币三年期定期存款基准利率(税后),2,0.25,曹名长 沈悦,2.37,20220930,-7.20%
167508.SZ,安信价值发现定开,安信基金,20200430,混合型,混合型,沪深300指数收益率*70%+中债总指数(全价)收益率*25%+恒生指数收益率*5%,1.5,0.25,张明 陈一峰,3.26,20220930,-7.81%
005267.OF,嘉实价值精选,嘉实基金,20171106,股票型,股票型,沪深300指数收益率*45%+恒生指数收益率*45%+中债综合财富指数收益率*10%,1.5,0.25,谭丽,46.95,20220930,-8.68%
450001.OF,国富中国收益,国海富兰克林基金,20050601,混合型,混合型,中债国债总指数(全价)*55%+沪深300指数*40%+同业存款息率*5%,1.38,0.25,徐荔蓉,20.62,20220930,-9.16%
501046.SH,财通福鑫定开混合,财通基金,20171023,混合型,灵活配置型,沪深300指数收益率*55%+上证国债指数收益率*45%,1.5,0.25,金梓才,2.82,20220930,-9.37%
166024.SZ,中欧恒利定开,中欧基金,20171101,混合型,混合型,沪深300指数收益率*60%+中债综合指数收益率*40%,1.5,0.25,曹名长 沈悦,3.99,20220930,-9.88%
240022.OF,华宝资源优选A,华宝基金,20120821,混合型,混合型,中证内地资源主题指数收益率*80%+上证国债指数收益率*20%,1.5,0.25,丁靖斐 蔡目荣,12.44,20220930,-10.24%
100061.OF,富国中国中小盘人民币,富国基金,20120904,混合型,混合型,中证香港中国中小综合指数收益率*80%+香港三个月期银行同业拆借利率(Hong Kong 3-Month Interbank Offer Rate)*20%,1.6,0.3,张峰,35.11,20220930,-10.49%
001955.OF,中欧养老产业A,中欧基金,20160513,混合型,混合型,沪深300指数收益率*75%+中债综合指数收益率*25%,1.5,0.25,王健 许文星,22.51,20220930,-10.53%
160632.SZ,酒LOF,鹏华基金,20150429,股票型,被动指数型,中证酒指数收益率*95%+商业银行活期存款利率(税后)*5%,1,0.22,张羽翔,37.38,20220930,-10.87%
519697.OF,交银优势行业,交银施罗德基金,20090121,混合型,灵活配置型,沪深300指数收益率*60%+中证综合债券指数收益率*40%,1.5,0.25,何帅,58.02,20220930,-11.23%
002624.OF,广发优企精选A,广发基金,20160804,混合型,灵活配置型,中证800指数收益率*65%+中证全债指数收益率*35%,1.5,0.25,程琨,11.48,20220930,-11.35%
501189.SH,嘉实产业优选LOF,嘉实基金,20180705,混合型,灵活配置型,沪深300指数收益率*45%+恒生指数收益率(人民币计价)*45%+中债综合财富指数收益率*10%,1.5,0.25,吴悠,10.53,20220930,-11.47%
003165.OF,鹏华弘嘉A,鹏华基金,20160819,混合型,灵活配置型,中证综合债指数收益率*50%+沪深300指数收益率*50%,0.6,0.2,汤志彦,0.82,20220930,-11.80%
001117.OF,中欧精选A,中欧基金,20150318,混合型,灵活配置型,沪深300指数收益率*65%+中债综合指数收益率*35%,1,0.25,周蔚文,55.2,20220930,-12.35%
166005.OF,中欧价值发现A,中欧基金,20090724,混合型,混合型,沪深300指数*80%+上证国债指数*20%,1.5,0.25,曹名长 沈悦 蓝小康,26.62,20220930,-12.41%
000747.OF,广发逆向策略A,广发基金,20140904,混合型,灵活配置型,沪深300指数*50%+中证全债指数*50%,1.5,0.25,程琨,1.01,20220930,-12.42%
001182.OF,易方达安心回馈,易方达基金,20150529,混合型,混合型,中债新综合指数收益率*70%+沪深300指数收益率*25%+金融机构人民币活期存款基准利率(税后)*5%,0.6,0.25,李中阳 林虎,52.92,20220930,-13.06%
340001.OF,兴全可转债,兴证全球基金,20040511,混合型,混合型,中证可转换债券指数*80%+沪深300指数*15%+同业存款利率*5%,1.3,0.25,虞淼,38.04,20220930,-13.11%
166001.SZ,中欧趋势LOF,中欧基金,20070129,混合型,混合型,富时中国A600指数*80%+富时中国国债指数*20%,1.5,0.25,周蔚文,40.78,20220930,-13.51%
162605.SZ,景顺鼎益LOF,景顺长城基金,20050316,混合型,混合型,沪深300指数*80%+银行同业存款利率*20%,1.5,0.25,刘彦春,172.47,20220930,-13.55%
166002.OF,中欧新蓝筹A,中欧基金,20080725,混合型,灵活配置型,沪深300指数*60%+上证国债指数*35%+一年期定期存款利率*5%,1.5,0.25,冯炉丹 周蔚文,111.3,20220930,-13.93%
163407.SZ,兴全沪深300LOF,兴证全球基金,20101102,股票型,增强指数型,沪深300指数*95%+同业存款利率*5%,0.8,0.15,申庆,42.4,20220930,-14.00%
002628.OF,招商安博A,招商基金,20160525,混合型,灵活配置型,沪深300指数收益率*50%+中债综合指数收益率*50%,1.5,0.25,张西林,0.97,20220930,-14.15%
110011.OF,易方达优质精选,易方达基金,20210910,混合型,混合型,沪深300指数收益率*50%+中证香港300指数收益率*30%+中债总指数收益率*20%,1.5,0.25,张坤,173.81,20220930,-14.42%
160919.SZ,产业升级LOF,大成基金,20141226,股票型,股票型,沪深300指数收益率*80%+中证综合债券指数收益率*20%,1.5,0.25,李林益,3.07,20220930,-14.65%
501071.SH,泓德丰泽,泓德基金,20190328,混合型,灵活配置型,中证800指数收益率*70%+中国债券综合全价指数收益率*30%,1.5,0.25,邬传雁,3.7,20220930,-14.77%
001603.OF,易方达安盈回报,易方达基金,20170216,混合型,混合型,中债新综合指数收益率*70%+沪深300指数收益率*25%+金融机构人民币活期存款基准利率(税后)*5%,0.9,0.25,张清华,25.59,20220930,-15.00%
519736.OF,交银新成长,交银施罗德基金,20140509,混合型,混合型,富时中国A600成长指数*75%+中证综合债券指数*25%,1.5,0.25,王崇,94.77,20220930,-15.08%
519688.OF,交银精选,交银施罗德基金,20050929,混合型,混合型,沪深300指数*75%+中证综合债券指数*25%,1.5,0.25,王崇,68.3,20220930,-15.58%
020018.OF,国泰金鹿,国泰基金,20140826,混合型,混合型,沪深300指数收益率*80%+中债综合指数收益率*20%,1.5,0.25,李海 赵大震,1.47,20220930,-16.77%
001651.OF,工银瑞信新蓝筹A,工银瑞信基金,20150806,股票型,股票型,沪深300指数收益率*80%+中债综合财富指数收益率*20%,1.5,0.25,王筱苓,3.65,20220930,-17.09%
450011.OF,国富研究精选,国海富兰克林基金,20120522,混合型,混合型,沪深300指数收益率*80%+中债国债总指数(全价)收益率*20%,1.5,0.25,徐荔蓉,6.49,20220930,-17.34%
110003.OF,易方达上证50增强A,易方达基金,20040322,股票型,增强指数型,上证50指数,1.2,0.2,张胜记,180.33,20220930,-18.36%
501087.SH,交银瑞丰,交银施罗德基金,20190904,混合型,混合型,沪深300指数收益率*70%+中证综合债券指数收益率*25%+恒生指数收益率*5%,1.5,0.25,王崇,23.31,20220930,-18.58%
160133.SZ,南方天元LOF,南方基金,20140703,股票型,股票型,沪深300指数收益率*80%+上证国债指数收益率*20%,1.5,0.25,蒋秋洁,13.35,20220930,-18.85%
166019.OF,中欧价值智选回报A,中欧基金,20130514,混合型,灵活配置型,金融机构人民币三年期定期存款基准利率(税后),1.5,0.25,袁维德,71.01,20220930,-19.01%
003940.OF,银华盛世精选A,银华基金,20161222,混合型,灵活配置型,中证800指数收益率*50%+中证综合债券指数收益率*50%,1.5,0.25,张萍 李晓星,49.62,20220930,-19.15%
162216.SZ,泰达500增强LOF,泰达宏利基金,20191106,股票型,增强指数型,中证500指数收益率*95%+1年期定期存款利率(税后)*5%,1,0.2,刘洋,3.05,20220930,-19.27%
202023.OF,南方优选成长A,南方基金,20110130,混合型,灵活配置型,沪深300指数*60%+上证国债指数*40%,1.5,0.25,骆帅,37.43,20220930,-20.43%
161912.SZ,社会责任定开,万家基金,20190321,混合型,混合型,沪深300指数收益率*80%+上证国债指数收益率*20%,1.5,0.25,莫海波,8.95,20220930,-20.47%
001500.OF,泓德远见回报,泓德基金,20150824,混合型,灵活配置型,沪深300指数收益率*75%+中证综合债券指数收益率*25%,1.5,0.25,邬传雁,21.21,20220930,-21.01%
162703.SZ,广发小盘LOF,广发基金,20050202,混合型,混合型,天相小市值指数,1.5,0.25,刘格菘,99.6,20220930,-21.49%
000934.OF,国富大中华精选人民币,国海富兰克林基金,20150203,混合型,混合型,MSCI金龙净总收益指数(MSCI Golden Dragon Net Total Return Index)*60%+同期人民币一年期定期存款利率(税后)*40%,1.5,0.27,徐成,19.83,20220930,-22.08%
100039.OF,富国通胀通缩主题,富国基金,20100512,混合型,混合型,沪深300指数收益率*80%+中债综合指数收益率*20%,1.5,0.25,曹晋,3.77,20220930,-23.09%
166009.SZ,中欧动力LOF,中欧基金,20110210,混合型,混合型,沪深300指数收益率*75%+中证全债指数收益率*25%,1.5,0.25,王健 许文星,16.12,20220930,-23.16%
040035.OF,华安逆向策略A,华安基金,20120816,混合型,混合型,沪深300指数收益率*80%+中国债券总指数收益率*20%,1.5,0.25,万建军,57.83,20220930,-23.30%
001990.OF,中欧数据挖掘多因子A,中欧基金,20160113,混合型,灵活配置型,中证500指数收益率*95%+中债综合指数收益率*5%,1.5,0.25,曲径,6.03,20220930,-23.76%
161005.SZ,富国天惠LOF,富国基金,20051116,混合型,混合型,沪深300指数收益率*70%+中债综合全价指数收益率*25%+同业存款利率*5%,1.5,0.25,朱少醒,294.5,20220930,-23.90%
007802.OF,兴全合泰A,兴证全球基金,20191017,混合型,混合型,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合(全价)指数收益率*20%,1.5,0.25,任相栋,66.03,20220930,-24.60%
160633.SZ,券商LOF,鹏华基金,20150506,股票型,被动指数型,中证全指证券公司指数收益率*95%+商业银行活期存款利率(税后)*5%,1,0.22,陈龙,11.95,20220930,-24.64%
000362.OF,国泰聚信价值优势A,国泰基金,20131217,混合型,灵活配置型,沪深300指数收益率*80%+上证国债指数收益率*20%,1.5,0.2,程洲,27.52,20220930,-25.37%
163402.SZ,兴全趋势LOF,兴证全球基金,20051103,混合型,灵活配置型,沪深300指数*50%+中证国债指数*45%+同业存款利率*5%,1.5,0.25,童兰 董理 谢治宇,210.9,20220930,-25.84%
180031.OF,银华中小盘精选,银华基金,20120620,混合型,混合型,中证500指数收益率*80%+中证综合债指数收益率*20%,1.5,0.25,张萍 李晓星 杜宇,42.15,20220930,-26.08%
006259.OF,汇添富红利增长A,汇添富基金,20190426,混合型,混合型,中证红利指数收益率*60%+中证港股通高股息投资指数收益率*20%+中债综合指数收益率*20%,1.5,0.25,劳杰男 黄耀锋,15.08,20220930,-26.21%
163412.SZ,兴全轻资产LOF,兴证全球基金,20120405,混合型,混合型,沪深300指数*80%+中证国债指数*20%,1.5,0.25,董理,50.81,20220930,-26.22%
163406.SZ,兴全合润LOF,兴证全球基金,20100422,混合型,混合型,沪深300指数*80%+中证国债指数*20%,1.5,0.25,谢治宇,252.62,20220930,-26.93%
161028.SZ,新能源车LOF,富国基金,20150330,股票型,被动指数型,中证新能源汽车指数收益率*95%+银行人民币活期存款利率(税后)*5%,1,0.22,张圣贤 牛志冬,88.17,20220930,-27.50%
519069.OF,汇添富价值精选A,汇添富基金,20090123,混合型,混合型,沪深300指数收益率*80%+上证国债指数收益率*20%,1.5,0.25,劳杰男,128.28,20220930,-28.14%
166006.SZ,中欧成长LOF,中欧基金,20091230,混合型,混合型,沪深300指数收益率*75%+中债综合指数收益率*25%,1.5,0.25,尹为醇 王培,38.21,20220930,-29.59%
002307.OF,银华多元视野,银华基金,20160519,混合型,灵活配置型,沪深300指数收益率*50%+中债综合指数收益率*50%,1.5,0.25,贾鹏 郭思捷,1.64,20220930,-29.84%
000136.OF,民生加银策略精选A,民生加银基金,20130607,混合型,灵活配置型,沪深300指数收益率*60%+中债国债总指数收益率(全价)*40%,1.5,0.25,孙伟,21.06,20220930,-34.24%
006058.OF,民生加银新兴成长,民生加银基金,20180907,混合型,混合型,沪深300指数收益率*60%+中债综合指数收益率*30%+恒生综合指数收益率*10%,1.5,0.25,孙伟 王晓岩,3.98,20220930,-40.22%
