ts_code,name,management,fund_type,found_date,m_fee,c_fee,benchmark,invest_type,market,manager,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,all
159706.SZ,深证100ETF华安,华安基金,股票型,20211209,0.15,0.05,深证100指数收益率,被动指数型,E,刘璇子,0.64,20230630,,,,,,,,,,-0.01539999999999997,-0.24791793621775338,0.015800135043889173,-0.24780000000000002
516690.SH,化工产业ETF,银华基金,股票型,20211207,0.5,0.1,中证细分化工产业主题指数收益率,被动指数型,E,王帅,0.5,20230630,,,,,,,,,,-0.024399999999999977,-0.25133251332513323,-0.06558050383351595,-0.3175
501211.SH,民生加银优享FOF,民生加银基金,混合型,20211207,1.0,0.15,中债综合指数收益率*65%+沪深300指数收益率*25%+恒生综合指数收益率(经汇率估值调整)*5%+1年期定期存款收益率(税后)*5%,混合型,E,于善辉 孔思伟,9.84,20230630,,,,,,,,,,0.0016000000000000458,-0.052216453674121414,0.006426464391066155,-0.04469999999999996
159760.SZ,泰康公卫健康ETF,泰康基金,股票型,20211206,0.5,0.1,国证公共卫生与健康指数收益率,被动指数型,E,魏军,1.17,20230630,,,,,,,,,,-0.005900000000000016,-0.23850719243536866,-0.09709379128137385,-0.3165
562900.SH,现代农业ETF,易方达基金,股票型,20211202,0.15,0.05,中证现代农业主题指数收益率,被动指数型,E,宋钊贤,0.82,20230630,,,,,,,,,,0.019600000000000062,-0.0979795998430758,-0.07883005327824291,-0.15280000000000005
561990.SH,沪深300增强ETF,招商基金,股票型,20211202,0.5,0.1,沪深300指数收益率,增强指数型,E,王平 苏燕青,6.25,20230630,,,,,,,,,,-0.02070000000000005,-0.17686102317982225,0.05433569036099733,-0.1501
561550.SH,500增强ETF,华泰柏瑞基金,股票型,20211202,0.7,0.1,中证500指数收益率,增强指数型,E,柳军 田汉卿,6.03,20230630,,,,,,,,,,-0.0010000000000000009,-0.1457457457457457,0.07183032575580021,-0.08530000000000004
159731.SZ,石化ETF,华夏基金,股票型,20211202,0.5,0.1,中证石化产业指数收益率,被动指数型,E,鲁亚运,0.48,20230630,,,,,,,,,,-0.01749999999999996,-0.22982188295165393,-0.017179859918065296,-0.2563
561300.SH,300增强ETF,国泰基金,股票型,20211201,1.0,0.1,沪深300指数收益率,增强指数型,E,吴中昊 梁杏,10.38,20230630,,,,,,,,,,-0.037799999999999945,-0.2224069839950115,0.05532540424963249,-0.21030000000000004
517330.SH,长江保护ETF,易方达基金,股票型,20211126,0.15,0.05,中证长江保护主题指数收益率,被动指数型,E,刘树荣,15.85,20230630,,,,,,,,,,0.00649999999999995,-0.2525583705911575,0.012229163897381346,-0.23850000000000005
517160.SH,长江保护主题ETF,南方基金,股票型,20211126,0.15,0.05,中证长江保护主题指数收益率,被动指数型,E,龚涛,16.27,20230630,,,,,,,,,,0.00649999999999995,-0.2565325384997516,0.012160898035547237,-0.24260000000000004
517770.SH,游戏传媒ETF,浦银安盛基金,股票型,20211125,0.5,0.1,中证沪港深游戏及文化传媒指数收益率,被动指数型,E,罗雯,0.21,20230630,,,,,,,,,,0.045500000000000096,-0.20573888091822098,0.2419024683925347,0.031400000000000095
159789.SZ,饮料ETF,建信基金,股票型,20211125,0.5,0.1,中证饮料主题指数收益率,被动指数型,E,龚佳佳,0.46,20230630,,,,,,,,,,-0.026599999999999957,-0.11300595849599351,-0.004632310364794445,-0.14049999999999996
159761.SZ,新材料50ETF,国泰基金,股票型,20211124,0.5,0.1,中证新材料主题指数收益率,被动指数型,E,王玉,2.39,20230630,,,,,,,,,,-0.04359999999999997,-0.2862818904224174,-0.03794315851157345,-0.34330000000000005
159607.SZ,中概互联网ETF,嘉实基金,股票型,20211124,0.5,0.1,中证海外中国互联网30指数收益率(经估值汇率调整),被动指数型,E,刘珈吟 田光远,19.71,20230630,,,,,,,,,,-0.08999999999999997,-0.11021978021978028,0.037668272199580057,-0.15980000000000005
501218.SH,工银睿智进取FOF,工银瑞信基金,股票型,20211124,0.5,0.1,中证800指数收益率*90%+中债-新综合财富(总值)指数收益率*10%,股票型,E,蒋华安,1.79,20230630,,,,,,,,,,-0.0028000000000000247,-0.15583634175691935,-0.009622238061297216,-0.1663
159605.SZ,中概互联ETF,广发基金,股票型,20211124,0.5,0.1,人民币计价的中证海外中国互联网30指数收益率,被动指数型,E,夏浩洋,60.64,20230630,,,,,,,,,,-0.0958,-0.10893607608936079,0.041206404368871796,-0.16110000000000002
159748.SZ,沪港深创新药ETF,富国基金,股票型,20211124,0.5,0.1,中证沪港深创新药产业指数收益率,被动指数型,E,蔡卡尔,2.42,20230630,,,,,,,,,,-0.07420000000000004,-0.21635342406567284,-0.11536871123363197,-0.35819999999999996
517960.SH,科技AHETF,摩根基金,股票型,20211122,0.3,0.1,中证沪港深科技100指数收益率,被动指数型,E,何智豪 胡迪,1.87,20230630,,,,,,,,,,0.009600000000000053,-0.2032488114104596,0.13935852809547486,-0.08350000000000002
588310.SH,双创ETF基金,方正富邦基金,股票型,20211122,0.5,0.1,中证科创创业50指数收益率,被动指数型,E,于润泽 徐维君,0.45,20230630,,,,,,,,,,-0.05720000000000003,-0.27333474756045817,-0.05488249890526942,-0.35250000000000004
159779.SZ,消费电子ETF基金,招商基金,股票型,20211118,0.5,0.1,中证消费电子主题指数收益率,被动指数型,E,苏燕青,0.96,20230630,,,,,,,,,,0.0032000000000000917,-0.3839712918660288,0.10744336569579291,-0.3156
517880.SH,品牌消费ETF,华泰柏瑞基金,股票型,20211117,0.5,0.1,中证沪港深品牌消费50指数收益率,被动指数型,E,谭弘翔,0.49,20230630,,,,,,,,,,0.0,-0.1835,0.05731781996325775,-0.13670000000000004
517280.SH,网购ETF,天弘基金,股票型,20211116,0.5,0.1,中证沪港深线上消费主题指数收益率,被动指数型,E,林心龙,0.41,20230630,,,,,,,,,,0.02069999999999994,-0.20270402664837855,0.14854404718024328,-0.06520000000000004
159896.SZ,物联网龙头ETF,南方基金,股票型,20211115,0.5,0.1,中证物联网主题指数收益率,被动指数型,E,龚涛,0.7,20230630,,,,,,,,,,0.012199999999999989,-0.34173088322465917,0.18460153084196307,-0.2107
501215.SH,积极配置FOF,兴证全球基金,混合型,20211112,1.1,0.15,中证偏股型基金指数收益率*85%+中债综合(全价)指数收益率*15%,混合型,E,林国怀,35.43,20230630,,,,,,,,,,0.013400000000000079,-0.13627392934675361,0.018962759881197236,-0.10799999999999998
159726.SZ,恒生红利ETF,华夏基金,股票型,20211111,0.5,0.1,恒生中国内地企业高股息率指数收益率(经估值汇率调整),被动指数型,E,严筱娴,0.83,20230630,,,,,,,,,,-0.0252,-0.160853508411982,0.07163814180929108,-0.12339999999999995
501210.SH,交银智选星光FOF,交银施罗德基金,混合型,20211110,1.0,0.2,中证偏股型基金指数收益率*90%+中债综合全价指数收益率*10%,混合型,E,刘兵,19.77,20230630,,,,,,,,,,-0.0014999999999999458,-0.141612418627942,-0.028114792347176867,-0.16690000000000005
561310.SH,消电ETF,国泰基金,股票型,20211110,0.5,0.1,中证消费电子主题指数收益率,被动指数型,E,黄岳,1.1,20230630,,,,,,,,,,0.007900000000000018,-0.37870820517908527,0.11625678696901945,-0.30100000000000005
501213.SH,中欧汇选FOF,中欧基金,混合型,20211110,1.0,0.2,中证偏股型基金指数收益率*80%+银行活期存款利率(税后)*20%,混合型,E,桑磊,6.0,20230630,,,,,,,,,,0.01110000000000011,-0.14024329937691637,-0.022544283413848575,-0.1502
159793.SZ,线上消费ETF平安,平安基金,股票型,20211109,0.5,0.1,中证沪港深线上消费主题指数收益率,被动指数型,E,刘洁倩,0.45,20230630,,,,,,,,,,-0.03090000000000004,-0.19781240326075739,0.14394134293799846,-0.11070000000000002
159707.SZ,地产ETF,华宝基金,股票型,20211104,0.5,0.1,中证800地产指数收益率,被动指数型,E,蒋俊阳,2.9,20230630,,,,,,,,,,0.043299999999999894,-0.12240007667976607,-0.011577107907383075,-0.09499999999999997
516730.SH,证券公司ETF,浦银安盛基金,股票型,20211104,0.5,0.1,中证证券公司30指数收益率,被动指数型,E,高钢杰,1.01,20230630,,,,,,,,,,0.05339999999999989,-0.25897095120561986,0.20535485523955932,-0.05910000000000004
159739.SZ,大数据ETF,鹏华基金,股票型,20211103,0.5,0.1,中证云计算与大数据主题指数收益率,被动指数型,E,罗英宇,1.7,20230630,,,,,,,,,,0.0121,-0.23545104238711587,0.41418971310416125,0.09430000000000005
501212.SH,广发优选配置FOF,广发基金,混合型,20211102,1.0,0.2,中债-综合全价(总值)指数收益率*50%+中证800指数收益率*45%+人民币计价的恒生指数收益率*5%,混合型,E,杨喆,8.97,20230630,,,,,,,,,,0.005600000000000049,-0.09029435163086724,0.003607345867949367,-0.08189999999999997
159601.SZ,A50ETF,华夏基金,股票型,20211101,0.5,0.1,MSCI中国A50互联互通人民币指数收益率,被动指数型,E,荣膺,37.2,20230630,,,,,,,,,,0.00039999999999995595,-0.19342263094762097,0.012021316148221642,-0.1834
563000.SH,中国A50ETF,易方达基金,股票型,20211029,0.5,0.1,MSCI中国A50互联互通人民币指数收益率,被动指数型,E,宋钊贤 林伟斌,50.12,20230630,,,,,,,,,,-0.0020999999999999908,-0.19180278585028562,0.010043397396156227,-0.1854
159602.SZ,中国A50ETF,南方基金,股票型,20211029,0.5,0.1,MSCI中国A50互联互通指数(人民币)收益率,被动指数型,E,李佳亮,15.31,20230630,,,,,,,,,,-0.00029999999999996696,-0.19255776733019905,0.009663032705649055,-0.18500000000000005
560050.SH,MSCI中国A50ETF,汇添富基金,股票型,20211029,0.5,0.1,MSCI中国A50互联互通人民币指数收益率,被动指数型,E,乐无穹 吴振翔,60.97,20230630,,,,,,,,,,-0.0027000000000000357,-0.1938233229720244,0.010820895522387972,-0.18730000000000002
516750.SH,建材ETF,富国基金,股票型,20211028,0.5,0.1,中证全指建筑材料指数收益率,被动指数型,E,牛志冬,0.85,20230630,,,,,,,,,,0.13050000000000006,-0.2342326404245909,-0.004042971006122281,-0.13780000000000003
159712.SZ,港股通50ETF,国泰基金,股票型,20211027,0.5,0.1,中证港股通50指数收益率,被动指数型,E,吴向军 徐成城,0.64,20230630,,,,,,,,,,-0.04800000000000004,-0.0494747899159663,0.032379268427450536,-0.06579999999999997
159862.SZ,食品ETF,银华基金,股票型,20211026,0.5,0.1,中证细分食品饮料产业主题指数收益率,被动指数型,E,李宜璇 王帅,0.47,20230630,,,,,,,,,,0.028799999999999937,-0.13384525660964225,-0.03130961732689938,-0.13680000000000003
159770.SZ,机器人ETF,天弘基金,股票型,20211026,0.5,0.1,中证机器人指数收益率,被动指数型,E,刘笑明,1.3,20230630,,,,,,,,,,0.018399999999999972,-0.30979968578161826,0.22008820600369905,-0.14239999999999997
159877.SZ,医疗产业ETF,南方基金,股票型,20211022,0.5,0.1,中证全指医疗保健设备与服务指数收益率,被动指数型,E,朱恒红,0.87,20230630,,,,,,,,,,0.020100000000000007,-0.2073326144495638,-0.11167449913430613,-0.28169999999999995
516620.SH,影视ETF,国泰基金,股票型,20211020,0.5,0.1,中证影视主题指数收益率,被动指数型,E,王玉,0.46,20230630,,,,,,,,,,0.2593000000000001,-0.2584769316286827,0.12743628185907047,0.05279999999999996
159895.SZ,物联网50ETF,易方达基金,股票型,20211013,0.15,0.05,中证物联网主题指数收益率,被动指数型,E,张湛 李栩,0.36,20230630,,,,,,,,,,0.09339999999999993,-0.34552771172489477,0.17859139183901623,-0.15659999999999996
517660.SH,物联网沪港深ETF,天弘基金,股票型,20211012,0.5,0.1,中证沪港深物联网主题指数收益率,被动指数型,E,林心龙,0.32,20230630,,,,,,,,,,0.01309999999999989,-0.27628072253479413,0.19555434337924463,-0.12329999999999997
588280.SH,科创50ETF华安,华安基金,股票型,20211012,0.5,0.1,上证科创板50成份指数收益率,被动指数型,E,苏卿云 许之彦,1.69,20230630,,,,,,,,,,0.020199999999999996,-0.3169966673201333,0.014494833524684269,-0.2931
159853.SZ,科技100ETF,南方基金,股票型,20210929,0.15,0.05,中证科技100指数收益率,被动指数型,E,龚涛,0.32,20230630,,,,,,,,,,0.09149999999999991,-0.27356848373797515,0.12777497477295668,-0.1059
159892.SZ,恒生医药ETF,华夏基金,股票型,20210929,0.5,0.15,恒生香港上市生物科技指数收益率(使用估值汇率折算),被动指数型,E,赵宗庭,11.97,20230630,,,,,,,,,,-0.20350000000000001,-0.11512868801004394,-0.1691259931895573,-0.4144
516130.SH,消费龙头ETF,华宝基金,股票型,20210928,0.5,0.1,中证消费龙头指数收益率,被动指数型,E,胡洁,0.81,20230630,,,,,,,,,,0.014399999999999968,-0.16630520504731858,-0.006976469197114836,-0.1602
159777.SZ,创科技ETF,国联安基金,股票型,20210927,0.5,0.1,创业板科技指数收益率,被动指数型,E,章椹元 黄欣,0.11,20230630,,,,,,,,,,0.018799999999999928,-0.27954456223007457,-0.013080801199073365,-0.27569999999999995
561130.SH,国货ETF,富国基金,股票型,20210927,0.5,0.1,中证新华社民族品牌工程指数收益率,被动指数型,E,蔡卡尔,2.1,20230630,,,,,,,,,,0.021700000000000053,-0.2323578349809142,0.042585745250541866,-0.18230000000000002
159723.SZ,科技龙头ETF,汇添富基金,股票型,20210927,0.15,0.05,中证沪港深科技龙头指数收益率,被动指数型,E,乐无穹,0.54,20230630,,,,,,,,,,-0.040000000000000036,-0.2678125,0.055618776671408285,-0.2579
516860.SH,金融科技ETF,博时基金,股票型,20210924,0.5,0.1,中证金融科技主题指数收益率,被动指数型,E,尹浩,0.6,20230630,,,,,,,,,,0.07850000000000001,-0.21474269819193326,0.26177825008855826,0.0686
159773.SZ,创业板科技ETF,华泰柏瑞基金,股票型,20210923,0.5,0.1,创业板科技指数收益率,被动指数型,E,谭弘翔,0.64,20230630,,,,,,,,,,0.04150000000000009,-0.27431589054248684,-0.007144747287642327,-0.24960000000000004
562360.SH,机器人ETF基金,银华基金,股票型,20210922,0.5,0.1,中证机器人指数收益率,被动指数型,E,张亦驰 张凯 谭跃峰,0.79,20230630,,,,,,,,,,0.10640000000000005,-0.30685104844540856,0.21397835441387406,-0.06899999999999995
560000.SH,智慧电车ETF,浦银安盛基金,股票型,20210917,0.5,0.1,中证智能电动汽车指数收益率,被动指数型,E,高钢杰,0.52,20230630,,,,,,,,,,0.09759999999999991,-0.3260750728862973,0.003515413737155132,-0.25780000000000003
510770.SH,G60创新ETF,申万菱信基金,股票型,20210916,0.5,0.1,上证G60战略新兴产业成份指数收益率,被动指数型,E,廖裕舟 王赟杰,0.3,20230630,,,,,,,,,,0.012299999999999978,-0.2699792551615134,-0.06319350473612986,-0.3077
517030.SH,沪港深300ETF基金,易方达基金,股票型,20210915,0.15,0.05,中证沪港深300指数收益率,被动指数型,E,鲍杰,0.38,20230630,,,,,,,,,,0.019200000000000106,-0.16522762951334388,0.047837329572167325,-0.10850000000000004
159792.SZ,港股通互联网ETF,富国基金,股票型,20210915,0.5,0.1,中证港股通互联网指数收益率,被动指数型,E,田希蒙 蔡卡尔,87.2,20230630,,,,,,,,,,-0.15439999999999998,-0.15728476821192053,-0.030872859949480802,-0.3094
562800.SH,稀有金属ETF,嘉实基金,股票型,20210915,0.5,0.1,中证稀有金属主题指数收益率,被动指数型,E,田光远,10.66,20230630,,,,,,,,,,-0.09499999999999997,-0.25712707182320443,-0.08359363379443704,-0.3839
159717.SZ,ESGETF,鹏华基金,股票型,20210915,0.5,0.1,国证ESG300指数收益率,被动指数型,E,罗英宇,0.54,20230630,,,,,,,,,,0.04170000000000007,-0.17644235384467702,0.044055944055944124,-0.10419999999999996
159733.SZ,消费电子50ETF,景顺长城基金,股票型,20210915,0.5,0.1,中证消费电子主题指数收益率,被动指数型,E,张晓南,0.31,20230630,,,,,,,,,,0.14339999999999997,-0.3880531747419975,0.10061454909246823,-0.2299
516190.SH,文娱传媒ETF,华夏基金,股票型,20210909,0.5,0.1,中证文娱传媒指数收益率,被动指数型,E,赵宗庭,0.18,20230630,,,,,,,,,,0.12939999999999996,-0.2564193377014344,0.310907358894975,0.10089999999999999
159736.SZ,饮食ETF,天弘基金,股票型,20210909,0.5,0.1,中证食品饮料指数收益率,被动指数型,E,沙川,53.5,20230630,,,,,,,,,,0.10319999999999996,-0.14521392313270487,-0.04432661717921522,-0.0988
517110.SH,创新药沪深港ETF,国泰基金,股票型,20210908,0.5,0.1,中证沪港深创新药产业指数收益率,被动指数型,E,梁杏,1.62,20230630,,,,,,,,,,-0.11819999999999997,-0.20707643456566113,-0.1158466819221969,-0.38180000000000003
516560.SH,养老ETF,华宝基金,股票型,20210908,0.5,0.1,中证养老产业指数收益率,被动指数型,E,张放,0.69,20230630,,,,,,,,,,0.04590000000000005,-0.185773018453007,-0.002818224518553392,-0.15080000000000005
516210.SH,银行ETF华安,华安基金,股票型,20210903,0.5,0.1,中证银行指数收益率,被动指数型,E,苏卿云,2.15,20230630,,,,,,,,,,-0.031200000000000006,-0.048926507018992565,0.07358367701324069,-0.010800000000000032
501209.SH,富久食品饮料LOF,银华基金,混合型,20210903,1.5,0.25,中证食品饮料指数收益率*80%+中证港股通综合指数(人民币)收益率*10%+商业银行人民币活期存款利率(税后)*10%,混合型,E,焦巍 王丽敏,5.34,20230630,,,,,,,,,,0.00019999999999997797,-0.16656668666266744,-0.051823416506717866,-0.2096
159715.SZ,稀土ETF易方达,易方达基金,股票型,20210901,0.15,0.05,中证稀土产业指数收益率,被动指数型,E,成曦,2.42,20230630,,,,,,,,,,-0.07699999999999996,-0.2538461538461539,-0.000871206621170225,-0.31189999999999996
159889.SZ,智能汽车ETF,国泰基金,股票型,20210901,0.5,0.1,中证智能汽车主题指数收益率,被动指数型,E,黄岳,0.74,20230630,,,,,,,,,,0.17169999999999996,-0.3493214986771358,0.18467995802728232,-0.0968
506008.SH,科创板长城,长城基金,混合型,20210901,1.5,0.25,中国战略新兴产业成份指数收益率*65%+中债总指数收益率*25%+中证港股通综合指数收益率(使用估值汇率折算)*10%,混合型,E,赵凤飞 陈良栋,3.4,20230630,,,,,,,,,,-0.008900000000000019,-0.21925133689839565,-0.02106487464461113,-0.24250000000000005
561600.SH,消费电子ETF,平安基金,股票型,20210830,0.5,0.1,中证消费电子主题指数收益率,被动指数型,E,钱晶,0.63,20230630,,,,,,,,,,0.09040000000000004,-0.38105282465150403,0.09971847681137933,-0.25780000000000003
560560.SH,碳中和ETF泰康,泰康基金,股票型,20210827,0.5,0.1,中证内地低碳经济主题指数收益率,被动指数型,E,魏军,1.06,20230630,,,,,,,,,,0.023500000000000076,-0.2554958475818271,-0.08122293662249043,-0.29979999999999996
516630.SH,云计算50ETF,华夏基金,股票型,20210824,0.5,0.1,中证云计算与大数据主题指数收益率,被动指数型,E,赵宗庭,0.7,20230630,,,,,,,,,,0.03170000000000006,-0.23117185228264034,0.4252395360564801,0.13050000000000006
159763.SZ,新材料ETF基金,建信基金,股票型,20210819,0.5,0.1,中证新材料主题指数收益率,被动指数型,E,龚佳佳,0.91,20230630,,,,,,,,,,-0.02749999999999997,-0.30467866323907455,-0.05071713736507467,-0.358
516640.SH,芯片龙头ETF,富国基金,股票型,20210819,0.5,0.1,中证芯片产业指数收益率,被动指数型,E,张圣贤,11.27,20230630,,,,,,,,,,-0.05289999999999995,-0.36722626966529404,0.09828132821625221,-0.3418
588390.SH,科创创业50ETF,博时基金,股票型,20210819,0.5,0.1,中证科创创业50指数收益率,被动指数型,E,尹浩,3.05,20230630,,,,,,,,,,-0.0696,-0.28331900257953574,-0.05698860227954398,-0.3712
561350.SH,国泰中证500ETF,国泰基金,股票型,20210818,0.5,0.1,中证500指数收益率,被动指数型,E,黄岳,5.54,20230630,,,,,,,,,,0.04719999999999991,-0.17780748663101598,0.0628339140534263,-0.08489999999999998
516790.SH,医疗保健ETF,华泰柏瑞基金,股票型,20210812,0.5,0.1,中证全指医疗保健设备与服务指数收益率,被动指数型,E,柳军,1.58,20230630,,,,,,,,,,-0.04269999999999996,-0.1933563146349107,-0.10683760683760686,-0.3103
159732.SZ,消费电子ETF,华夏基金,股票型,20210812,0.5,0.1,国证消费电子主题指数收益率,被动指数型,E,赵宗庭,1.85,20230630,,,,,,,,,,0.0806,-0.4228206551915602,0.13433792882334078,-0.2924
561800.SH,稀有金属ETF基金,华富基金,股票型,20210811,0.5,0.1,中证稀有金属主题指数收益率,被动指数型,E,李孝华 郜哲,1.07,20230630,,,,,,,,,,-0.023800000000000043,-0.2518951034624053,-0.08982609886348075,-0.33530000000000004
