ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee
517110.SH,创新药沪深港ETF,国泰基金,20210908,股票型,被动指数型,中证沪港深创新药产业指数收益率,0.5,0.1
516560.SH,养老ETF,华宝基金,20210908,股票型,被动指数型,中证养老产业指数收益率,0.5,0.1
501209.SH,富久食品饮料LOF,银华基金,20210903,混合型,混合型,中证食品饮料指数收益率*80%+中证港股通综合指数(人民币)收益率*10%+商业银行人民币活期存款利率(税后)*10%,1.5,0.25
516210.SH,银行股ETF,华安基金,20210903,股票型,被动指数型,中证银行指数收益率,0.5,0.1
159715.SZ,稀土ETF易方达,易方达基金,20210901,股票型,被动指数型,中证稀土产业指数收益率,0.15,0.05
159889.SZ,智能汽车ETF,国泰基金,20210901,股票型,被动指数型,中证智能汽车主题指数收益率,0.5,0.1
561600.SH,消费电子ETF,平安基金,20210830,股票型,被动指数型,中证消费电子主题指数收益率,0.5,0.1
560560.SH,泰康碳中和ETF,泰康资产,20210827,股票型,被动指数型,中证内地低碳经济主题指数收益率,0.5,0.1
516630.SH,云计算50ETF,华夏基金,20210824,股票型,被动指数型,中证云计算与大数据主题指数收益率,0.5,0.1
588390.SH,科创创业50ETF,博时基金,20210819,股票型,被动指数型,中证科创创业50指数收益率,0.5,0.1
159763.SZ,新材料ETF基金,建信基金,20210819,股票型,被动指数型,中证新材料主题指数收益率,0.5,0.1
516640.SH,芯片龙头ETF,富国基金,20210819,股票型,被动指数型,中证芯片产业指数收益率,0.5,0.1
561350.SH,国泰中证500ETF,国泰基金,20210818,股票型,被动指数型,中证500指数收益率,0.5,0.1
516790.SH,医疗保健ETF,华泰柏瑞基金,20210812,股票型,被动指数型,中证全指医疗保健设备与服务指数收益率,0.5,0.1
159732.SZ,消费电子ETF,华夏基金,20210812,股票型,被动指数型,国证消费电子主题指数收益率,0.5,0.1
561800.SH,稀有金属ETF基金,华富基金,20210811,股票型,被动指数型,中证稀有金属主题指数收益率,0.5,0.1
516290.SH,光伏ETF基金,汇添富基金,20210809,股票型,被动指数型,中证光伏产业指数收益率,0.15,0.05
159875.SZ,新能源ETF,嘉实基金,20210809,股票型,被动指数型,中证新能源指数收益率,0.5,0.1
159767.SZ,电池龙头ETF,兴银基金,20210806,股票型,被动指数型,国证新能源车电池指数收益率,0.5,0.1
159713.SZ,稀土ETF,富国基金,20210805,股票型,被动指数型,中证稀土产业指数收益率,0.5,0.1
159840.SZ,锂电池ETF,工银瑞信基金,20210805,股票型,被动指数型,国证新能源车电池指数收益率,0.45,0.07
560660.SH,云50ETF,新华基金,20210805,股票型,被动指数型,中证云计算50指数收益率,0.5,0.1
516930.SH,生物科技ETF基金,民生加银基金,20210805,股票型,被动指数型,中证生物科技主题指数收益率,0.5,0.1
517800.SH,人工智能50ETF,方正富邦基金,20210804,股票型,被动指数型,中证沪港深人工智能50指数收益率,0.5,0.1
560500.SH,中证500成长ETF,鹏扬基金,20210804,股票型,被动指数型,中证500质量成长指数收益率,0.45,0.05
516710.SH,新材料50ETF,华夏基金,20210804,股票型,被动指数型,中证新材料主题指数收益率,0.5,0.1
561910.SH,电池ETF,招商基金,20210804,股票型,被动指数型,中证电池主题指数收益率,0.5,0.1
517010.SH,沪港深500ETF指数,易方达基金,20210803,股票型,被动指数型,中证沪港深500指数收益率,0.15,0.05
513590.SH,香港消费ETF,鹏华基金,20210803,股票型,被动指数型,中证港股通消费主题指数收益率,0.5,0.1
159790.SZ,碳中和ETF,华夏基金,20210730,股票型,被动指数型,中证内地低碳经济主题指数收益率,0.5,0.1
159786.SZ,VRETF,银华基金,20210729,股票型,被动指数型,中证虚拟现实主题指数收益率,0.5,0.1
159864.SZ,光伏50ETF,国泰基金,20210728,股票型,被动指数型,中证光伏产业指数收益率,0.5,0.1
517380.SH,创新药沪港深ETF,天弘基金,20210727,股票型,被动指数型,恒生沪深港创新药精选50指数收益率,0.5,0.1
516920.SH,芯片ETF基金,汇添富基金,20210727,股票型,被动指数型,中证芯片产业指数收益率,0.15,0.05
516720.SH,ESGETF,浦银安盛基金,20210722,股票型,被动指数型,中证ESG120策略指数收益率,0.5,0.1
159838.SZ,医药ETF基金,博时基金,20210722,股票型,被动指数型,中证医药50指数收益率,0.5,0.1
516260.SH,物联网50ETF,华夏基金,20210722,股票型,被动指数型,中证物联网主题指数收益率,0.5,0.1
159757.SZ,电池30ETF,景顺长城基金,20210721,股票型,被动指数型,国证新能源车电池指数收益率,0.5,0.1
159752.SZ,新能源龙头ETF,申万菱信基金,20210720,股票型,被动指数型,中证内地新能源主题指数收益率,0.5,0.1
588060.SH,科创板龙头ETF,广发基金,20210715,股票型,被动指数型,上证科创板50成份指数收益率,0.5,0.1
159710.SZ,智能电车ETF,建信基金,20210715,股票型,被动指数型,中证智能电动汽车指数收益率,0.5,0.1
159766.SZ,旅游ETF,富国基金,20210715,股票型,被动指数型,中证旅游主题指数收益率,0.5,0.1
516580.SH,新能源主题ETF,博时基金,20210715,股票型,被动指数型,中证新能源指数收益率,0.5,0.1
513700.SH,香港医药ETF,鹏华基金,20210713,股票型,被动指数型,中证港股通医药卫生综合指数收益率,0.5,0.1
516100.SH,互联网金融ETF,华夏基金,20210713,股票型,被动指数型,中证金融科技主题指数收益率,0.5,0.1
562880.SH,电池ETF基金,嘉实基金,20210713,股票型,被动指数型,中证电池主题指数收益率,0.5,0.1
516890.SH,新材料ETF平安,平安基金,20210709,股票型,被动指数型,中证新材料主题指数收益率,0.5,0.1
516270.SH,新能源50ETF,华安基金,20210709,股票型,被动指数型,中证内地新能源主题指数收益率,0.5,0.1
517120.SH,沪港深创新药ETF,华泰柏瑞基金,20210708,股票型,被动指数型,中证沪港深创新药产业指数收益率,0.5,0.1
159729.SZ,互联网ETF,汇添富基金,20210708,股票型,被动指数型,中证沪港深互联网指数收益率,0.15,0.05
159847.SZ,医疗50ETF,易方达基金,20210708,股票型,被动指数型,中证医疗指数收益率,0.15,0.05
159720.SZ,智能电动车ETF,泰康资产,20210707,股票型,被动指数型,中证智能电动汽车指数收益率,0.5,0.1
159830.SZ,上海金ETF,天弘基金,20210706,商品型,黄金现货合约,上海黄金交易所上海金集中定价合约午盘基准价收益率,0.5,0.1
561900.SH,沪深300ESGETF,招商基金,20210706,股票型,被动指数型,沪深300ESG基准指数收益率,0.5,0.1
159747.SZ,香港科技ETF,南方基金,20210702,股票型,被动指数型,经估值汇率调整的中证香港科技指数收益率,0.5,0.15
159782.SZ,双创50ETF基金,银华基金,20210629,股票型,被动指数型,中证科创创业50指数收益率,0.5,0.1
588380.SH,创50ETF,富国基金,20210629,股票型,被动指数型,中证科创创业50指数收益率,0.5,0.1
588360.SH,科创创业ETF,国泰基金,20210629,股票型,被动指数型,中证科创创业50指数收益率,0.5,0.1
588330.SH,双创龙头ETF,华宝基金,20210629,股票型,被动指数型,中证科创创业50指数收益率,0.5,0.1
159781.SZ,双创50ETF,易方达基金,20210628,股票型,被动指数型,中证科创创业50指数收益率,0.5,0.1
588400.SH,双创50ETF,嘉实基金,20210625,股票型,被动指数型,中证科创创业50指数收益率,0.5,0.1
588300.SH,双创ETF,招商基金,20210625,股票型,被动指数型,中证科创创业50指数收益率,0.5,0.1
588180.SH,科创50ETF基金,国联安基金,20210624,股票型,被动指数型,上证科创板50成份指数收益率,0.3,0.05
516870.SH,汽车龙头ETF,银华基金,20210624,股票型,被动指数型,中证800汽车与零部件指数收益率,0.5,0.1
159783.SZ,双创基金ETF,华夏基金,20210624,股票型,被动指数型,中证科创创业50指数收益率,0.5,0.1
516830.SH,300ESGETF,富国基金,20210624,股票型,被动指数型,沪深300ESG基准指数收益率,0.5,0.1
159780.SZ,双创ETF,南方基金,20210624,股票型,被动指数型,中证科创创业50指数收益率,0.5,0.1
159859.SZ,生物医药ETF,天弘基金,20210624,股票型,被动指数型,国证生物医药指数收益率,0.5,0.1
516970.SH,基建50ETF,广发基金,20210623,股票型,被动指数型,中证基建工程指数收益率,0.5,0.1
513980.SH,港股科技ETF基金,景顺长城基金,20210621,股票型,被动指数型,中证港股通科技指数(人民币)指数收益率,0.5,0.1
159899.SZ,软件基金ETF,招商基金,20210618,股票型,被动指数型,中证全指软件指数收益率,0.5,0.1
510990.SH,180ESGETF,工银瑞信基金,20210618,股票型,被动指数型,中证180ESG指数收益率,0.45,0.1
159708.SZ,红利ETF,西部利得基金,20210618,股票型,被动指数型,深证红利指数收益率,0.4,0.08
517360.SH,沪港深科技ETF,华安基金,20210618,股票型,被动指数型,中证沪港深科技100指数收益率,0.5,0.1
159709.SZ,物联网ETF工银,工银瑞信基金,20210618,股票型,被动指数型,深证物联网50指数收益率,0.45,0.07
159716.SZ,深创100ETF,华宝基金,20210618,股票型,被动指数型,深证创新100指数收益率,0.5,0.1
561500.SH,漂亮50ETF,华泰柏瑞基金,20210617,股票型,被动指数型,中证企业核心竞争力50指数收益率,0.5,0.1
159881.SZ,有色60ETF,国泰基金,20210617,股票型,被动指数型,中证有色金属指数收益率,0.5,0.1
159721.SZ,深创龙头ETF,永赢基金,20210617,股票型,被动指数型,深证创新100指数收益率,0.15,0.05
513860.SH,港股通科技ETF,海富通基金,20210617,股票型,被动指数型,中证港股通科技指数收益率,0.5,0.1
159872.SZ,车联网ETF,鹏华基金,20210616,股票型,被动指数型,中证车联网主题指数收益率,0.5,0.1
516400.SH,ESG龙头ETF,富国基金,20210616,股票型,被动指数型,中证ESG120策略指数收益率,0.5,0.1
516980.SH,证券先锋ETF,华富基金,20210615,股票型,被动指数型,中证证券公司先锋策略指数收益率,0.5,0.1
159755.SZ,电池ETF,广发基金,20210615,股票型,被动指数型,国证新能源车电池指数收益率,0.5,0.1
159725.SZ,线上消费ETF,工银瑞信基金,20210611,股票型,被动指数型,中证线上消费主题指数收益率,0.45,0.07
516650.SH,有色50ETF,华夏基金,20210609,股票型,被动指数型,中证细分有色金属产业主题指数收益率,0.5,0.1
159745.SZ,建材ETF,国泰基金,20210609,股票型,被动指数型,中证全指建筑材料指数收益率,0.5,0.1
516820.SH,医疗创新ETF,平安基金,20210609,股票型,被动指数型,中证医药及医疗器械创新指数收益率,0.5,0.1
516570.SH,化工行业ETF,易方达基金,20210609,股票型,被动指数型,中证石化产业指数收益率,0.15,0.05
513360.SH,教育ETF,博时基金,20210608,股票型,被动指数型,中证全球中国教育主题指数(人民币)收益率,0.5,0.15
180301.SZ,红土盐田港REIT,红土创新基金,20210607,股票型,,,0.3,0.01
180201.SZ,平安广州广河REIT,平安基金,20210607,混合型,,,0.115,0.03
508000.SH,华安张江光大REIT,华安基金,20210607,混合型,,,0.55,0.01
180801.SZ,中航首钢绿能REIT,中航基金,20210607,混合型,,,0.1,0.05
508027.SH,东吴苏园产业REIT,东吴基金,20210607,混合型,,,0.15,0.01
508056.SH,中金普洛斯REIT,中金基金,20210607,混合型,,,0.7,0.01
508001.SH,浙商沪杭甬REIT,浙商资管,20210607,股票型,,,0.125,0.01
508006.SH,富国首创水务REIT,富国基金,20210607,混合型,,,0.1,0.01
180101.SZ,博时蛇口产园REIT,博时基金,20210607,混合型,,,0.15,0.015
516380.SH,智能电动车ETF,华宝基金,20210604,股票型,被动指数型,中证智能电动汽车指数收益率,0.5,0.1
159897.SZ,物联网ETF基金,建信基金,20210603,股票型,被动指数型,中证物联网主题指数收益率,0.5,0.1
516910.SH,物流ETF,富国基金,20210603,股票型,被动指数型,中证现代物流指数收益率,0.5,0.1
516390.SH,新能源汽车ETF,汇添富基金,20210603,股票型,被动指数型,中证新能源汽车产业指数收益率,0.15,0.05
159703.SZ,新材料ETF,天弘基金,20210527,股票型,被动指数型,中证新材料主题指数收益率,0.5,0.1
159891.SZ,医疗ETF基金,建信基金,20210527,股票型,被动指数型,中证全指医疗保健设备与服务指数收益率,0.5,0.1
159898.SZ,医疗器械ETF招商,招商基金,20210527,股票型,被动指数型,中证全指医疗器械指数收益率,0.5,0.1
516480.SH,新材料ETF基金,国联安基金,20210527,股票型,被动指数型,中证新材料主题指数收益率,0.5,0.1
516320.SH,高端装备ETF,华夏基金,20210527,股票型,被动指数型,中证装备产业指数收益率,0.5,0.1
159741.SZ,恒生科技ETF基金,嘉实基金,20210526,股票型,被动指数型,恒生科技指数收益率(使用估值汇率折算),0.6,0.1
159735.SZ,港股消费ETF,银华基金,20210525,股票型,被动指数型,中证港股通消费主题指数收益率,0.5,0.1
513130.SH,恒生科技ETF,华泰柏瑞基金,20210524,股票型,被动指数型,恒生科技指数收益率(使用估值汇率折算),0.2,0.05
516310.SH,银行ETF易方达,易方达基金,20210520,股票型,被动指数型,中证银行指数收益率,0.15,0.05
513580.SH,恒生科技ETF基金,华安基金,20210520,股票型,被动指数型,恒生科技指数收益率(经汇率调整后),0.5,0.1
517350.SH,中概科技ETF,广发基金,20210520,股票型,被动指数型,中证沪港深科技龙头指数收益率,0.5,0.1
513180.SH,恒生科技指数ETF,华夏基金,20210518,股票型,被动指数型,恒生科技指数收益率(使用估值汇率折算),0.5,0.15
513010.SH,恒生科技30ETF,易方达基金,20210518,股票型,被动指数型,恒生科技指数收益率(使用估值汇率折算),0.2,0.05
159740.SZ,恒生科技ETF,大成基金,20210518,股票型,被动指数型,恒生科技指数收益率,0.5,0.1
159742.SZ,恒生科技指数ETF,博时基金,20210517,股票型,被动指数型,恒生科技指数收益率(经汇率调整后),0.5,0.15
159888.SZ,智能车ETF,华夏基金,20210513,股票型,被动指数型,中证智能汽车主题指数收益率,0.5,0.1
159887.SZ,银行ETF,富国基金,20210512,股票型,被动指数型,中证800银行指数收益率,0.5,0.1
516700.SH,大数据产业ETF,华宝基金,20210511,股票型,被动指数型,中证大数据产业指数收益率,0.5,0.1
159836.SZ,创300ETF,天弘基金,20210511,股票型,被动指数型,创业板300指数收益率,0.5,0.1
513690.SH,恒生高股息ETF,博时基金,20210511,股票型,被动指数型,恒生港股通高股息率指数收益率(经估值汇率调整后),0.5,0.1
516360.SH,新材料ETF,华宝基金,20210430,股票型,被动指数型,中证新材料主题指数收益率,0.5,0.1
159702.SZ,AIETF,汇添富基金,20210429,股票型,被动指数型,中证人工智能主题指数收益率,0.15,0.05
516590.SH,智能电动汽车ETF,易方达基金,20210429,股票型,被动指数型,中证智能电动汽车指数收益率,0.15,0.05
516610.SH,医疗服务ETF,大成基金,20210429,股票型,被动指数型,中证全指医疗保健设备与服务指数收益率,0.5,0.1
516950.SH,基建ETF,银华基金,20210429,股票型,被动指数型,中证基建指数收益率,0.5,0.1
159883.SZ,医疗器械ETF,永赢基金,20210422,股票型,被动指数型,中证全指医疗器械指数收益率,0.5,0.1
516900.SH,食品50ETF,华安基金,20210416,股票型,被动指数型,中证申万食品饮料指数收益率,0.5,0.1
516070.SH,碳中和50ETF,易方达基金,20210415,股票型,被动指数型,中证内地低碳经济主题指数收益率,0.15,0.05
159886.SZ,机械ETF,富国基金,20210415,股票型,被动指数型,中证细分机械设备产业主题指数收益率,0.5,0.1
516960.SH,机械ETF,国泰基金,20210407,股票型,被动指数型,中证细分机械设备产业主题指数收益率,0.5,0.1
517170.SH,沪港深ETF,华夏基金,20210407,股票型,被动指数型,中证沪港深500指数收益率,0.5,0.1
516110.SH,汽车ETF,国泰基金,20210407,股票型,被动指数型,中证800汽车与零部件指数收益率,0.5,0.1
159885.SZ,碳中和ETF基金,鹏华基金,20210406,股票型,被动指数型,中证内地低碳经济主题指数收益率,0.5,0.1
516330.SH,物联网ETF,华泰柏瑞基金,20210331,股票型,被动指数型,中证物联网主题指数收益率,0.5,0.1
516550.SH,农业ETF,嘉实基金,20210330,股票型,被动指数型,中证大农业指数收益率,0.5,0.1
516510.SH,云计算ETF,易方达基金,20210329,股票型,被动指数型,中证云计算与大数据主题指数收益率,0.15,0.05
159890.SZ,云计算ETF,招商基金,20210325,股票型,被动指数型,中证云计算与大数据主题指数收益率,0.15,0.1
159866.SZ,日经ETF,工银瑞信基金,20210324,股票型,被动指数型,日经225指数收益率(经汇率调整后),0.2,0.05
159861.SZ,碳中和50ETF,国泰基金,20210319,股票型,被动指数型,中证环保产业50指数收益率,0.5,0.1
159845.SZ,中证1000ETF,华夏基金,20210318,股票型,被动指数型,中证1000指数收益率,0.5,0.1
516670.SH,畜牧养殖ETF,招商基金,20210318,股票型,被动指数型,中证畜牧养殖指数收益率,0.2,0.1
513060.SH,恒生医疗ETF,博时基金,20210318,股票型,被动指数型,恒生医疗保健指数收益率(经汇率调整后),0.5,0.15
159873.SZ,医疗设备ETF,天弘基金,20210316,股票型,被动指数型,中证全指医疗保健设备与服务指数收益率,0.5,0.1
516300.SH,1000ETF基金,华泰柏瑞基金,20210315,股票型,被动指数型,中证1000指数收益率,0.5,0.1
159876.SZ,有色龙头ETF,华宝基金,20210312,股票型,被动指数型,中证有色金属指数收益率,0.5,0.1
159858.SZ,创新药指ETF,南方基金,20210312,股票型,被动指数型,中证创新药产业指数收益率,0.15,0.05
516090.SH,新能源ETF易方达,易方达基金,20210311,股票型,被动指数型,中证新能源指数收益率,0.15,0.05
159835.SZ,创新药50ETF,建信基金,20210311,股票型,被动指数型,中证创新药产业指数收益率,0.5,0.1
159871.SZ,有色金属ETF,银华基金,20210310,股票型,被动指数型,中证有色金属指数收益率,0.5,0.1
516150.SH,稀土ETF基金,嘉实基金,20210309,股票型,被动指数型,中证稀土产业指数收益率,0.5,0.1
516200.SH,证券行业ETF,华安基金,20210309,股票型,被动指数型,中证全指证券公司指数收益率,0.5,0.1
516850.SH,新能源80ETF,华夏基金,20210309,股票型,被动指数型,中证新能源指数收益率,0.5,0.1
