ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee
017675.OF,东方红颐和积极养老目标五年Y,东证资管,20221224,混合型,混合型,沪深300指数收益率*60%+中国债券总指数收益率*20%+恒生指数收益率*15%+银行活期存款利率(税后)*5%,0.4,0.075
017673.OF,东方红颐和稳健养老目标两年Y,东证资管,20221224,混合型,混合型,中国债券总指数收益率*75%+沪深300指数收益率*18%+银行活期存款利率(税后)*5%+恒生指数收益率*2%,0.25,0.075
017672.OF,兴全安泰平衡养老(FOF)Y,兴证全球基金,20221224,混合型,混合型,中证偏股型基金指数收益率*50%+中债综合(全价)指数收益率*50%,0.25,0.075
017136.OF,长盛同业存单指数7天持有,长盛基金,20221223,债券型,被动指数型,中证同业存单AAA指数收益率*95%+银行活期存款利率(税后)*5%,0.2,0.05
017187.OF,国新国证鑫裕央企债六个月定开,国新国证基金,20221223,债券型,债券型,中债综合全价(总值)指数收益率,0.3,0.05
017447.OF,民生加银恒宁,民生加银基金,20221223,债券型,债券型,中国债券综合指数收益率*90%+银行活期存款利率(税后)*10%,0.3,0.1
017487.OF,万家洞见进取C,万家基金,20221223,混合型,混合型,沪深300指数收益率*75%+中证全债指数收益率*25%,1.5,0.25
016268.OF,建信中证500指数量化增强C,建信基金,20221223,股票型,增强指数型,中证500指数收益率*95%+银行活期存款利率(税后)*5%,1.0,0.1
017486.OF,万家洞见进取A,万家基金,20221223,混合型,混合型,沪深300指数收益率*75%+中证全债指数收益率*25%,1.5,0.25
017128.OF,工银瑞信瑞嘉一年定开C,工银瑞信基金,20221223,债券型,债券型,中债综合财富(总值)指数收益率,0.3,0.1
016267.OF,建信中证500指数量化增强A,建信基金,20221223,股票型,增强指数型,中证500指数收益率*95%+银行活期存款利率(税后)*5%,1.0,0.1
017127.OF,工银瑞信瑞嘉一年定开A,工银瑞信基金,20221223,债券型,债券型,中债综合财富(总值)指数收益率,0.3,0.1
970207.OF,国信睿丰C,国信证券,20221223,债券型,债券型,中债新综合财富指数收益率*90%+沪深300指数收益率*10%,0.8,0.1
970179.OF,天风金管家,天风资管,20221223,货币市场型,货币型,同期人民币活期存款利率(税后),0.25,0.05
938666.OF,国信睿丰A,国信证券,20221223,债券型,债券型,中债新综合财富指数收益率*90%+沪深300指数收益率*10%,0.8,0.1
017523.OF,南方北证50成份A,南方基金,20221223,股票型,被动指数型,北证50成份指数收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1
017524.OF,南方北证50成份C,南方基金,20221223,股票型,被动指数型,北证50成份指数收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1
017183.OF,中信建投同业存单指数7天持有,中信建投基金,20221223,债券型,被动指数型,中证同业存单AAA指数收益率*95%+银行人民币一年定期存款利率(税后)*5%,0.2,0.05
017474.OF,中信建投景荣C,中信建投基金,20221223,债券型,债券型,中债综合全价(总值)指数收益率,0.3,0.1
017473.OF,中信建投景荣A,中信建投基金,20221223,债券型,债券型,中债综合全价(总值)指数收益率,0.3,0.1
017614.OF,工银瑞信瑞福纯债F,工银瑞信基金,20221223,债券型,债券型,中债信用债总财富指数收益率*80%+中债国开行债券总财富(1-3年)指数收益率*20%,0.3,0.1
159665.OF,工银瑞信国证半导体芯片ETF,工银瑞信基金,20221222,股票型,被动指数型,国证半导体芯片指数收益率,0.45,0.07
017018.OF,农银汇理瑞泽添利C,农银汇理基金,20221222,债券型,债券型,中债综合全价(总值)指数收益率*90%+沪深300指数收益率*10%,0.6,0.1
017017.OF,农银汇理瑞泽添利A,农银汇理基金,20221222,债券型,债券型,中债综合全价(总值)指数收益率*90%+沪深300指数收益率*10%,0.6,0.1
017518.OF,招商北证50成份C,招商基金,20221222,股票型,被动指数型,北证50成份指数收益率*95%+银行活期存款利率(税后)*5%,0.8,0.15
017517.OF,招商北证50成份A,招商基金,20221222,股票型,被动指数型,北证50成份指数收益率*95%+银行活期存款利率(税后)*5%,0.8,0.15
016881.OF,山西证券裕景30天持有A,山西证券,20221221,债券型,债券型,中债综合财富(总值)指数收益率*90%+1年期定期存款利率(税后)*10%,0.2,0.05
561000.OF,华安沪深300增强策略ETF,华安基金,20221221,股票型,增强指数型,沪深300指数收益率,0.5,0.1
017444.OF,嘉实30天持有中短债C,嘉实基金,20221221,债券型,债券型,中债综合财富(1-3年)指数收益率*50%+中债综合财富(1年以下)指数收益率*40%+银行活期存款利率(税后)*10%,0.22,0.055
017443.OF,嘉实30天持有中短债A,嘉实基金,20221221,债券型,债券型,中债综合财富(1-3年)指数收益率*50%+中债综合财富(1年以下)指数收益率*40%+银行活期存款利率(税后)*10%,0.22,0.055
016885.OF,山西证券裕泽A,山西证券,20221221,债券型,债券型,中债综合全价指数收益率,0.3,0.05
016576.OF,民生加银瑞丰一年定开,民生加银基金,20221221,债券型,债券型,中国债券综合指数收益率,0.3,0.1
016886.OF,山西证券裕泽C,山西证券,20221221,债券型,债券型,中债综合全价指数收益率,0.3,0.05
017105.OF,光大保德信荣利纯债A,光大保德信基金,20221221,债券型,债券型,中债综合(全价)指数收益率,0.3,0.1
017528.OF,嘉实北证50成份C,嘉实基金,20221221,股票型,被动指数型,北证50成份指数收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1
016673.OF,华安鼎津一年定开,华安基金,20221221,债券型,债券型,中债综合全价指数收益率,0.3,0.1
017527.OF,嘉实北证50成份A,嘉实基金,20221221,股票型,被动指数型,北证50成份指数收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1
016882.OF,山西证券裕景30天持有C,山西证券,20221221,债券型,债券型,中债综合财富(总值)指数收益率*90%+1年期定期存款利率(税后)*10%,0.2,0.05
017106.OF,光大保德信荣利纯债C,光大保德信基金,20221221,债券型,债券型,中债综合(全价)指数收益率,0.3,0.1
016719.OF,富国稳健双盈A,富国基金,20221221,债券型,债券型,中债综合全价指数收益率*85%+沪深300指数收益率*10%+恒生指数收益率(使用估值汇率折算)*5%,0.7,0.05
016720.OF,富国稳健双盈C,富国基金,20221221,债券型,债券型,中债综合全价指数收益率*85%+沪深300指数收益率*10%+恒生指数收益率(使用估值汇率折算)*5%,0.7,0.05
017578.OF,南方中证政策性金融债C,南方基金,20221221,债券型,被动指数型,中证政策性金融债指数收益率*95%+银行活期存款利率(税后)*5%,0.15,0.05
017577.OF,南方中证政策性金融债A,南方基金,20221221,债券型,被动指数型,中证政策性金融债指数收益率*95%+银行活期存款利率(税后)*5%,0.15,0.05
016849.OF,建信优享进取养老目标五年持有,建信基金,20221221,混合型,混合型,中证800指数收益率*75%+中债综合指数收益率*20%+金融机构人民币活期存款利率(税后)*5%,1.0,0.15
017628.OF,华商计算机行业量化C,华商基金,20221220,股票型,股票型,中信计算机指数收益率*80%+中证全债指数收益率*20%,1.2,0.2
017189.OF,嘉实上证科创板50指数增强C,嘉实基金,20221220,股票型,增强指数型,上证科创板50成份指数收益率*95%+银行活期存款利率(税后)*5%,0.8,0.15
017188.OF,嘉实上证科创板50指数增强A,嘉实基金,20221220,股票型,增强指数型,上证科创板50成份指数收益率*95%+银行活期存款利率(税后)*5%,0.8,0.15
016088.OF,金鹰添悦60天滚动A,金鹰基金,20221220,债券型,债券型,中证短债指数收益率*85%+一年期定期存款利率(税后)*15%,0.2,0.05
016324.OF,东方中证500指数增强C,东方基金,20221220,股票型,增强指数型,中证500指数收益率*95%+银行活期存款利率(税后)*5%,1.0,0.2
016790.OF,招商鑫利中短债A,招商基金,20221220,债券型,债券型,中债综合财富(1年以下)指数收益率*90%+一年期定期存款利率(税后)*10%,0.2,0.05
016791.OF,招商鑫利中短债C,招商基金,20221220,债券型,债券型,中债综合财富(1年以下)指数收益率*90%+一年期定期存款利率(税后)*10%,0.2,0.05
016089.OF,金鹰添悦60天滚动C,金鹰基金,20221220,债券型,债券型,中证短债指数收益率*85%+一年期定期存款利率(税后)*15%,0.2,0.05
016657.OF,汇丰晋信丰宁三个月定开C,汇丰晋信基金,20221220,债券型,债券型,中债新综合全价(总值)指数收益率*90%+同业存款利率*10%,0.3,0.1
016656.OF,汇丰晋信丰宁三个月定开A,汇丰晋信基金,20221220,债券型,债券型,中债新综合全价(总值)指数收益率*90%+同业存款利率*10%,0.3,0.1
017629.OF,中银机构现金管理E,中银基金,20221220,货币市场型,货币型,活期存款利率(税后),0.33,0.05
017423.OF,天弘同业存单指数7天持有,天弘基金,20221220,债券型,被动指数型,中证同业存单AAA指数收益率*95%+银行人民币一年定期存款利率(税后)*5%,0.2,0.05
016773.OF,诺德兴新趋势C,诺德基金,20221220,混合型,混合型,沪深300指数收益率*70%+中债综合全价指数收益率*20%+恒生指数收益率*10%,1.5,0.25
016323.OF,东方中证500指数增强A,东方基金,20221220,股票型,增强指数型,中证500指数收益率*95%+银行活期存款利率(税后)*5%,1.0,0.2
017621.OF,易方达富惠C,易方达基金,20221220,债券型,债券型,中债新综合指数收益率(全价),0.3,0.1
017264.OF,兴证全球安悦平衡养老三年持有,兴证全球基金,20221220,混合型,混合型,中证偏股型基金指数收益率*50%+中债综合(全价)指数收益率*45%+恒生指数收益率(使用估值汇率折算)*5%,0.7,0.15
016431.OF,中海丰盈三个月定开,中海基金,20221220,债券型,债券型,中证全债指数收益率,0.3,0.1
015975.OF,工银瑞信积极养老目标五年持有,工银瑞信基金,20221220,混合型,混合型,中证800指数收益率*75%+中债新综合(财富)指数收益率*25%,0.9,0.2
016772.OF,诺德兴新趋势A,诺德基金,20221220,混合型,混合型,沪深300指数收益率*70%+中债综合全价指数收益率*20%+恒生指数收益率*10%,1.5,0.25
016977.OF,博时阿尔法回报C,博时基金,20221220,混合型,混合型,沪深300指数收益率*60%+中债综合财富(总值)指数收益率*25%+中证港股通综合指数(人民币)收益率*15%,1.5,0.25
016976.OF,博时阿尔法回报A,博时基金,20221220,混合型,混合型,沪深300指数收益率*60%+中债综合财富(总值)指数收益率*25%+中证港股通综合指数(人民币)收益率*15%,1.5,0.25
015929.OF,蜂巢丰裕A,蜂巢基金,20221220,债券型,债券型,中债综合全价(总值)指数收益率*90%+1年期银行定期存款利率(税后)*10%,0.3,0.05
015930.OF,蜂巢丰裕C,蜂巢基金,20221220,债券型,债券型,中债综合全价(总值)指数收益率*90%+1年期银行定期存款利率(税后)*10%,0.3,0.05
015584.OF,招商安悦1年持有C,招商基金,20221220,债券型,债券型,中债综合(全价)指数收益率*85%+沪深300指数收益率*10%+恒生综合指数收益率(经汇率调整后)*5%,0.7,0.15
015583.OF,招商安悦1年持有A,招商基金,20221220,债券型,债券型,中债综合(全价)指数收益率*85%+沪深300指数收益率*10%+恒生综合指数收益率(经汇率调整后)*5%,0.7,0.15
017108.OF,淳厚优加回报一年持有C,淳厚基金,20221219,混合型,混合型,中债综合全价(总值)指数收益率*80%+沪深300指数收益率*15%+经人民币汇率调整的中证港股通综合指数收益率*5%,1.0,0.2
009393.OF,嘉实现金宝E,嘉实基金,20221219,货币市场型,货币型,中国人民银行公布的人民币活期存款基准利率(税后),0.18,0.08
017107.OF,淳厚优加回报一年持有A,淳厚基金,20221219,混合型,混合型,中债综合全价(总值)指数收益率*80%+沪深300指数收益率*15%+经人民币汇率调整的中证港股通综合指数收益率*5%,1.0,0.2
017583.OF,鑫元恒鑫收益增强D,鑫元基金,20221219,债券型,债券型,中证综合债指数收益率*90%+沪深300指数收益率*10%,0.4,0.1
970181.OF,上海证券现金添利,上海证券,20221219,货币市场型,货币型,人民币活期存款利率(税后),0.55,0.05
016375.OF,招商裕泰,招商基金,20221216,混合型,混合型,沪深300指数收益率*60%+恒生综合指数收益率(经汇率调整后)*20%+中债综合(全价)指数收益率*20%,0.6,0.05
008859.OF,人保安和一年定开,人保资产,20221216,债券型,债券型,中债综合全价(总值)指数收益率,0.3,0.05
016691.OF,华安众盈中短债A,华安基金,20221216,债券型,债券型,中债-综合全价(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,0.3,0.05
016692.OF,华安众盈中短债C,华安基金,20221216,债券型,债券型,中债-综合全价(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,0.3,0.05
017488.OF,嘉实信息产业A,嘉实基金,20221216,股票型,股票型,中证TMT产业主题指数收益率*80%+恒生指数收益率*10%+中证全债指数收益率*10%,1.5,0.25
017489.OF,嘉实信息产业C,嘉实基金,20221216,股票型,股票型,中证TMT产业主题指数收益率*80%+恒生指数收益率*10%+中证全债指数收益率*10%,1.5,0.25
017613.OF,兴银合丰政策性金融债C,兴银基金,20221216,债券型,债券型,中证政策性金融债指数收益率,0.3,0.1
015527.OF,弘毅远方汽车产业升级A,弘毅远方基金,20221216,混合型,混合型,中证智能电动汽车指数收益率*70%+中债综合全价(总值)指数收益率*25%+恒生指数收益率(使用估值汇率折算)*5%,1.5,0.2
015528.OF,弘毅远方汽车产业升级C,弘毅远方基金,20221216,混合型,混合型,中证智能电动汽车指数收益率*70%+中债综合全价(总值)指数收益率*25%+恒生指数收益率(使用估值汇率折算)*5%,1.5,0.2
016904.OF,华夏安益短债A,华夏基金,20221215,债券型,债券型,中债综合财富(1年以下)指数收益率*80%+一年期定期存款利率(税后)*20%,0.3,0.1
017034.OF,中信建投科技主题6个月持有A,中信建投基金,20221215,混合型,混合型,中证800指数收益率*70%+中证综合债指数收益率*20%+恒生指数收益率(使用估值汇率折算)*10%,1.5,0.25
017035.OF,中信建投科技主题6个月持有C,中信建投基金,20221215,混合型,混合型,中证800指数收益率*70%+中证综合债指数收益率*20%+恒生指数收益率(使用估值汇率折算)*10%,1.5,0.25
016802.OF,创金合信怡久回报C,创金合信基金,20221215,债券型,债券型,中债新综合财富(总值)指数收益率*90%+沪深300指数收益率*8%+中证港股通综合指数收益率*2%,0.5,0.1
016801.OF,创金合信怡久回报A,创金合信基金,20221215,债券型,债券型,中债新综合财富(总值)指数收益率*90%+沪深300指数收益率*8%+中证港股通综合指数收益率*2%,0.5,0.1
017522.OF,富国北证50成份C,富国基金,20221215,股票型,被动指数型,北证50成份指数收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1
017521.OF,富国北证50成份A,富国基金,20221215,股票型,被动指数型,北证50成份指数收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1
016457.OF,蜂巢中债1-5年政策性金融债C,蜂巢基金,20221215,债券型,被动指数型,中债-1-5年政策性金融债指数收益率*95%+银行活期存款利率(税后)*5%,0.15,0.05
016456.OF,蜂巢中债1-5年政策性金融债A,蜂巢基金,20221215,债券型,被动指数型,中债-1-5年政策性金融债指数收益率*95%+银行活期存款利率(税后)*5%,0.15,0.05
016905.OF,华夏安益短债C,华夏基金,20221215,债券型,债券型,中债综合财富(1年以下)指数收益率*80%+一年期定期存款利率(税后)*20%,0.3,0.1
016451.OF,博远增睿,博远基金,20221214,债券型,债券型,中债综合全价(总值)指数收益率*90%+金融机构人民币活期存款基准利率(税后)*10%,0.3,0.1
016627.OF,汇添富创新成长C,汇添富基金,20221214,混合型,混合型,中证800指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合指数收益率*20%,1.5,0.25
016626.OF,汇添富创新成长A,汇添富基金,20221214,混合型,混合型,中证800指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合指数收益率*20%,1.5,0.25
008432.OF,人保安睿一年定开,人保资产,20221214,债券型,债券型,中债综合全价(总值)指数收益率,0.3,0.05
017078.OF,华泰紫金景泓12个月持有C,华泰证券资管,20221214,混合型,混合型,中债综合财富(总值)指数收益率*80%+沪深300指数收益率*10%+中证港股通综合指数(CNY)收益率*5%+银行活期存款利率(税后)*5%,0.8,0.2
017077.OF,华泰紫金景泓12个月持有A,华泰证券资管,20221214,混合型,混合型,中债综合财富(总值)指数收益率*80%+沪深300指数收益率*10%+中证港股通综合指数(CNY)收益率*5%+银行活期存款利率(税后)*5%,0.8,0.2
016781.OF,湘财研究精选一年持有A,湘财基金,20221214,混合型,混合型,沪深300指数收益率*75%+上证国债指数收益率*25%,1.5,0.25
016782.OF,湘财研究精选一年持有C,湘财基金,20221214,混合型,混合型,沪深300指数收益率*75%+上证国债指数收益率*25%,1.5,0.25
017180.OF,鑫元璟丰,鑫元基金,20221214,债券型,债券型,中证全债指数收益率,0.3,0.1
016994.OF,长江惠盈9个月持有C,长江资管,20221214,债券型,债券型,中债-综合全价(总值)指数收益率*90%+沪深300指数收益率*10%,0.7,0.1
016993.OF,长江惠盈9个月持有A,长江资管,20221214,债券型,债券型,中债-综合全价(总值)指数收益率*90%+沪深300指数收益率*10%,0.7,0.1
016738.OF,嘉实领航聚优积极配置6个月持有C,嘉实基金,20221213,混合型,混合型,中证800指数收益率*80%+活期存款利率(税后)*20%,0.8,0.15
016558.OF,安信洞见成长A,安信基金,20221213,混合型,混合型,中证800指数收益率*60%+恒生指数收益率(经汇率调整后)*20%+中债综合(全价)指数收益率*15%+人民币活期存款利率(税后)*5%,1.5,0.25
017140.OF,华宝中证有色金属联接A,华宝基金,20221213,股票型,被动指数型,中证有色金属指数收益率*95%+人民币银行活期存款利率(税后)*5%,0.5,0.1
016730.OF,长信中证科创创业50指数增强C,长信基金,20221213,股票型,增强指数型,中证科创创业50指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,1.0,0.15
017020.OF,博时中证农业主题指数C,博时基金,20221213,股票型,被动指数型,中证农业主题指数收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1
016729.OF,长信中证科创创业50指数增强A,长信基金,20221213,股票型,增强指数型,中证科创创业50指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,1.0,0.15
016743.OF,长城永利A,长城基金,20221213,债券型,债券型,中债综合全价指数收益率,0.3,0.1
016744.OF,长城永利C,长城基金,20221213,债券型,债券型,中债综合全价指数收益率,0.3,0.1
016714.OF,长信均衡策略一年持有C,长信基金,20221213,混合型,混合型,中证800指数收益率*60%+中债-综合指数收益率*30%+恒生指数收益率(使用估值汇率折算)*10%,1.5,0.2
017471.OF,国泰中证机床联接A,国泰基金,20221213,股票型,被动指数型,中证机床指数收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1
016559.OF,安信洞见成长C,安信基金,20221213,混合型,混合型,中证800指数收益率*60%+恒生指数收益率(经汇率调整后)*20%+中债综合(全价)指数收益率*15%+人民币活期存款利率(税后)*5%,1.5,0.25
017472.OF,国泰中证机床联接C,国泰基金,20221213,股票型,被动指数型,中证机床指数收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1
017015.OF,博时五月佳5个月持有A,博时基金,20221213,混合型,混合型,中债新综合全价(总值)指数收益率*80%+沪深300指数收益率*15%+银行活期存款利率(税后)*5%,0.5,0.1
016989.OF,广发富信优选六个月持有A,广发基金,20221213,混合型,混合型,中证800指数收益率*60%+中债-综合全价(总值)指数收益率*40%,0.9,0.15
017019.OF,博时中证农业主题指数A,博时基金,20221213,股票型,被动指数型,中证农业主题指数收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1
016990.OF,广发富信优选六个月持有C,广发基金,20221213,混合型,混合型,中证800指数收益率*60%+中债-综合全价(总值)指数收益率*40%,0.9,0.15
017111.OF,申万菱信同业存单指数7天持有,申万菱信基金,20221213,债券型,被动指数型,中证同业存单AAA指数收益率*95%+银行人民币活期存款利率(税后)*5%,0.2,0.05
016713.OF,长信均衡策略一年持有A,长信基金,20221213,混合型,混合型,中证800指数收益率*60%+中债-综合指数收益率*30%+恒生指数收益率(使用估值汇率折算)*10%,1.5,0.2
017036.OF,嘉实低碳精选A,嘉实基金,20221213,混合型,混合型,中证内地低碳经济主题指数收益率*80%+中证港股通综合指数收益率*10%+中债综合财富指数收益率*10%,1.5,0.25
017141.OF,华宝中证有色金属联接C,华宝基金,20221213,股票型,被动指数型,中证有色金属指数收益率*95%+人民币银行活期存款利率(税后)*5%,0.5,0.1
016737.OF,嘉实领航聚优积极配置6个月持有A,嘉实基金,20221213,混合型,混合型,中证800指数收益率*80%+活期存款利率(税后)*20%,0.8,0.15
