ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
014609.OF,中欧周期景气C,中欧基金,招商银行,混合型,20220105,,,20211224,,0.0124,1.5,0.25,,1.0,0.0001,,国证周期100指数收益率*90%+中证港股通综合指数(人民币)收益率*5%+银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,,,O
014014.OF,招商臻选平衡A,招商基金,兴业银行,混合型,20220105,,,20211213,,0.7118,1.5,0.25,,1.0,0.0001,,中债综合(全价)指数收益率*50%+沪深300指数收益率*45%+恒生综合指数收益率(经汇率调整后)*5%,L,混合型,契约型开放式,,,,O
014015.OF,招商臻选平衡C,招商基金,兴业银行,混合型,20220105,,,20211213,,2.1021,1.5,0.25,,1.0,0.0001,,中债综合(全价)指数收益率*50%+沪深300指数收益率*45%+恒生综合指数收益率(经汇率调整后)*5%,L,混合型,契约型开放式,,,,O
013912.OF,中欧招益稳健一年持有A,中欧基金,招商银行,混合型,20220105,,,20211213,,14.1967,0.6,0.13,,1.0,0.0001,,中债综合财富(总值)指数收益率*87%+中证800指数收益率*10%+中证港股通综合指数收益率*3%,L,混合型,契约型开放式,,,,O
014190.OF,南方专精特新C,南方基金,招商银行,混合型,20220105,,,20211216,,1.2031,1.5,0.25,,1.0,0.0001,,中证1000指数收益率*70%+中债总指数收益率*20%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,,,O
014775.OF,招商安本增利A,招商基金,中国光大银行,债券型,20220105,,,,,,0.7,0.15,,1.0,,,三年期银行定期存款利率(税后)+0.2%,L,债券型,契约型开放式,,20220105,20220106,O
014629.OF,华泰紫金智能量化C,华泰证券资管,中国银行,股票型,20220105,,,,,,1.2,0.25,,1.0,,,中证800指数收益率*90%+上证国债指数收益率*10%,L,股票型,契约型开放式,,20220105,20220106,O
013279.OF,国泰优选领航一年持有,国泰基金,招商银行,混合型,20220105,,,20211220,,2.9779,1.0,0.2,,1.0,0.0001,,沪深300指数收益率*60%+中证综合债指数收益率*30%+恒生中国企业指数收益率(估值汇率调整)*10%,L,混合型,契约型开放式,,,,O
013913.OF,中欧招益稳健一年持有C,中欧基金,招商银行,混合型,20220105,,,20211213,,3.7331,0.6,0.13,,1.0,0.0001,,中债综合财富(总值)指数收益率*87%+中证800指数收益率*10%+中证港股通综合指数收益率*3%,L,混合型,契约型开放式,,,,O
013009.OF,万家港股通精选A,万家基金,招商银行,混合型,20220105,,,20211213,,2.4924,1.5,0.25,,1.0,0.001,,恒生指数收益率*70%+中证全债指数收益率*20%+沪深300指数收益率*10%,L,混合型,契约型开放式,,,,O
012038.OF,银华尊颐稳健养老目标一年持有,银华基金,中国邮政储蓄银行,混合型,20220104,,,20210930,,6.6048,0.6,0.2,,1.0,0.001,,中证全债指数收益率*75%+沪深300指数收益率*25%,L,混合型,契约型开放式,,,,O
014202.OF,天弘中证1000指数增强C,天弘基金,中国农业银行,股票型,20220104,,,20211213,,1.1049,0.6,0.1,,1.0,0.0001,,中证1000指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,,,O
014688.OF,招商招景纯债D,招商基金,交通银行,债券型,20220104,,,,,,0.3,0.1,,1.0,,,中证全债指数收益率,L,债券型,契约型开放式,,20220104,20220105,O
516530.OF,银华中证现代物流ETF,银华基金,招商银行,股票型,20220104,,,20210930,,2.693,0.5,0.1,,1.0,0.1,,中证现代物流指数收益率,L,被动指数型,契约型开放式,,,,O
012472.OF,中加邮益一年持有C,中加基金,中国邮政储蓄银行,混合型,20220104,,,20211011,,0.1698,0.8,0.2,,1.0,0.001,,中债总全价(总值)指数收益率*85%+中证800指数收益率*12%+中证港股通综合指数(人民币)收益率*3%,L,混合型,契约型开放式,,,,O
014201.OF,天弘中证1000指数增强A,天弘基金,中国农业银行,股票型,20220104,,,20211213,,6.9107,0.6,0.1,,1.0,0.0001,,中证1000指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,,,O
012471.OF,中加邮益一年持有A,中加基金,中国邮政储蓄银行,混合型,20220104,,,20211011,,5.0648,0.8,0.2,,1.0,0.001,,中债总全价(总值)指数收益率*85%+中证800指数收益率*12%+中证港股通综合指数(人民币)收益率*3%,L,混合型,契约型开放式,,,,O
014689.OF,国泰中证港股通50联接A,国泰基金,中信建投证券,股票型,20211231,,,20211230,,0.1,0.5,0.1,,1.0,0.0001,,中证港股通50指数收益率(经估值汇率调整)*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20220107,20220107,O
014690.OF,国泰中证港股通50联接C,国泰基金,中信建投证券,股票型,20211231,,,20211230,,,0.5,0.1,,1.0,0.0001,,中证港股通50指数收益率(经估值汇率调整)*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20220107,20220107,O
014729.OF,前海开源新兴产业C,前海开源基金,交通银行,混合型,20211231,,,,,,1.5,0.25,,1.0,,,中证新兴产业指数收益率*60%+恒生指数收益率*20%+银行活期存款利率(税后)*20%,L,混合型,契约型开放式,,20211231,20220104,O
012076.OF,易方达稳健添利C,易方达基金,中国民生银行,混合型,20211231,,,20210930,,1.2468,1.2,0.25,,1.0,0.0001,,中债总指数收益率*60%+沪深300指数收益率*35%+中证港股通综合指数收益率*5%,L,混合型,契约型开放式,,,,O
012075.OF,易方达稳健添利A,易方达基金,中国民生银行,混合型,20211231,,,20210930,,1.8763,1.2,0.25,,1.0,0.0001,,中债总指数收益率*60%+沪深300指数收益率*35%+中证港股通综合指数收益率*5%,L,混合型,契约型开放式,,,,O
013165.OF,东兴兴盈三个月定开C,东兴基金,招商银行,债券型,20211230,,,20211025,,0.0,0.3,0.1,,1.0,0.0001,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,,,O
013728.OF,创金合信恒宁30天滚动持有A,创金合信基金,宁波银行,债券型,20211230,,,20211018,,1.9777,0.2,0.05,,1.0,0.001,,中债综合财富(1年以下)指数收益率*80%+一年期定期存款基准利率(税后)*20%,L,债券型,契约型开放式,,,,O
013729.OF,创金合信恒宁30天滚动持有C,创金合信基金,宁波银行,债券型,20211230,,,20211018,,0.1044,0.2,0.05,,1.0,0.001,,中债综合财富(1年以下)指数收益率*80%+一年期定期存款基准利率(税后)*20%,L,债券型,契约型开放式,,,,O
012708.OF,东方红中证东方红红利低波动A,东证资管,中国建设银行,股票型,20211230,,,20211116,,3.8334,0.5,0.1,,1.0,0.001,,中证东方红红利低波动指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
012709.OF,东方红中证东方红红利低波动C,东证资管,中国建设银行,股票型,20211230,,,20211116,,0.9978,0.5,0.1,,1.0,0.001,,中证东方红红利低波动指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
014325.OF,国联安核心趋势一年持有A,国联安基金,交通银行,混合型,20211230,,,20211213,,4.9062,1.5,0.25,,1.0,0.001,,沪深300指数收益率*60%+恒生指数收益率*20%+中债综合指数收益率*20%,L,混合型,契约型开放式,,,,O
012781.OF,银华中证创新药产业联接A,银华基金,上海银行,股票型,20211230,,,20211223,,0.1025,0.5,0.05,,1.0,0.001,,中证创新药产业指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
014326.OF,国联安核心趋势一年持有C,国联安基金,交通银行,混合型,20211230,,,20211213,,0.4936,1.5,0.25,,1.0,0.001,,沪深300指数收益率*60%+恒生指数收益率*20%+中债综合指数收益率*20%,L,混合型,契约型开放式,,,,O
014092.OF,华夏优选配置一年封闭运作C,华夏基金,中国工商银行,股票型,20211230,,,20211208,,0.2511,0.8,0.2,,1.0,0.0001,,沪深300指数收益率*90%+恒生指数收益率(使用估值汇率折算)*5%+中债综合(全价)指数收益率*5%,L,股票型,契约型开放式,,,,O
013164.OF,东兴兴盈三个月定开A,东兴基金,招商银行,债券型,20211230,,,20211025,,8.7011,0.3,0.1,,1.0,0.0001,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,,,O
012782.OF,银华中证创新药产业联接C,银华基金,上海银行,股票型,20211230,,,20211223,,0.0222,0.5,0.05,,1.0,0.001,,中证创新药产业指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
160326.OF,华夏优选配置一年封闭运作A,华夏基金,中国工商银行,股票型,20211230,,,20211208,,5.1048,0.8,0.2,,1.0,0.0001,,沪深300指数收益率*90%+恒生指数收益率(使用估值汇率折算)*5%+中债综合(全价)指数收益率*5%,L,股票型,契约型开放式,,,,O
014537.OF,中银中国精选C,中银基金,中国工商银行,混合型,20211229,,,,,,1.5,0.25,,1.0,,,沪深300指数*70%+中证国债指数*20%+1年期银行存款利率*10%,L,稳定型,契约型开放式,,20211229,20211230,O
014340.OF,长江智能制造C,长江资管,中国建设银行,混合型,20211229,,,20211220,,0.171,1.5,0.25,,1.0,0.001,,申银万国制造业指数收益率*75%+中债综合指数收益率*25%,L,混合型,契约型开放式,,,,O
013073.OF,泰信医疗服务C,泰信基金,浦发银行,混合型,20211229,,,20211220,,0.0002,1.5,0.25,,1.0,0.001,,中证医药卫生指数收益率*70%+中证综合债券指数收益率*30%,L,混合型,契约型开放式,,,,O
014339.OF,长江智能制造A,长江资管,中国建设银行,混合型,20211229,,,20211220,,3.5629,1.5,0.25,,1.0,0.001,,申银万国制造业指数收益率*75%+中债综合指数收益率*25%,L,混合型,契约型开放式,,,,O
014460.OF,平安品质优选A,平安基金,中国银行,混合型,20211229,,,20211213,,21.883,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*70%+中证全债指数收益率*25%+恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,,,O
012180.OF,浦银安盛创业板ETF联接C,浦银安盛基金,中国工商银行,股票型,20211229,,,20210928,,1.0532,0.15,0.05,,1.0,,,创业板指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
013072.OF,泰信医疗服务A,泰信基金,浦发银行,混合型,20211229,,,20211220,,0.1,1.5,0.25,,1.0,0.001,,中证医药卫生指数收益率*70%+中证综合债券指数收益率*30%,L,混合型,契约型开放式,,,,O
012179.OF,浦银安盛创业板ETF联接A,浦银安盛基金,中国工商银行,股票型,20211229,,,20210928,,1.1079,0.15,0.05,,1.0,,,创业板指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
014670.OF,银华安盈短债D,银华基金,中国银行,债券型,20211229,,,,,,0.3,0.1,,1.0,,,中债新综合全价(1年以下)指数收益率,L,债券型,契约型开放式,,20211229,20211229,O
014461.OF,平安品质优选C,平安基金,中国银行,混合型,20211229,,,20211213,,2.8813,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*70%+中证全债指数收益率*25%+恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,,,O
014505.OF,中银收益C,中银基金,中国工商银行,混合型,20211229,,,,,,1.5,0.25,,1.0,,,中证800指数收益率*60%+中债综合指数收益率*40%,L,混合型,契约型开放式,,20211229,20211230,O
014321.OF,德邦周期精选A,德邦基金,交通银行,混合型,20211229,,,20211213,,0.3086,1.5,0.25,,1.0,0.001,,沪深300指数收益率*75%+中债综合全价指数收益率*15%+恒生指数收益率*10%,L,混合型,契约型开放式,,,,O
014501.OF,华宸未来稳健添盈C,华宸未来基金,长城证券,债券型,20211229,,,20211213,,1.1974,0.6,0.1,,1.0,0.001,,中债综合全价指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,20220110,20220110,O
014322.OF,德邦周期精选C,德邦基金,交通银行,混合型,20211229,,,20211213,,0.0092,1.5,0.25,,1.0,0.001,,沪深300指数收益率*75%+中债综合全价指数收益率*15%+恒生指数收益率*10%,L,混合型,契约型开放式,,,,O
014500.OF,华宸未来稳健添盈A,华宸未来基金,长城证券,债券型,20211229,,,20211213,,2.1816,0.6,0.1,,1.0,0.001,,中债综合全价指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,20220110,20220110,O
013012.OF,工银瑞信创新药产业联接C,工银瑞信基金,申万宏源证券,股票型,20211229,,,20211216,,0.0061,0.45,0.07,,1.0,0.0001,,中证创新药产业指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
014115.OF,广发沪港深医药C,广发基金,交通银行,混合型,20211229,,,20211213,,2.2836,1.5,0.25,,1.0,0.0001,,中证医药卫生指数收益率*50%+人民币计价的恒生医疗保健指数收益率*30%+中债-新综合财富(总值)指数收益率*20%,L,混合型,契约型开放式,,,,O
014208.OF,华安产业精选C,华安基金,招商银行,混合型,20211229,,,20211227,,8.9107,1.5,0.25,,1.0,0.0001,,中证800指数收益率*65%+中债综合全价指数收益率*20%+中证港股通综合指数收益率*15%,L,混合型,契约型开放式,,,,O
014207.OF,华安产业精选A,华安基金,招商银行,混合型,20211229,,,20211227,,20.8618,1.5,0.25,,1.0,0.0001,,中证800指数收益率*65%+中债综合全价指数收益率*20%+中证港股通综合指数收益率*15%,L,混合型,契约型开放式,,,,O
014114.OF,广发沪港深医药A,广发基金,交通银行,混合型,20211229,,,20211213,,5.1798,1.5,0.25,,1.0,0.0001,,中证医药卫生指数收益率*50%+人民币计价的恒生医疗保健指数收益率*30%+中债-新综合财富(总值)指数收益率*20%,L,混合型,契约型开放式,,,,O
013011.OF,工银瑞信创新药产业联接A,工银瑞信基金,申万宏源证券,股票型,20211229,,,20211216,,0.1043,0.45,0.07,,1.0,0.0001,,中证创新药产业指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
014531.OF,华夏MSCI中国A50联接C,华夏基金,招商银行,股票型,20211228,,,20211213,,7.5883,0.5,0.1,,1.0,0.0001,,MSCI中国A50互联互通人民币指数收益率*95%+人民币活期存款(税后)利率*5%,L,被动指数型,契约型开放式,,20211231,20211231,O
014417.OF,泰康研究精选C,泰康资产,国信证券,股票型,20211228,,,20211210,,1.0058,1.5,0.25,,1.0,0.001,,中证800指数收益率*80%+恒生指数收益率*10%+金融机构人民币活期存款利率(税后)*10%,L,股票型,契约型开放式,,,,O
013611.OF,工银瑞信民瑞一年持有A,工银瑞信基金,中国民生银行,混合型,20211228,,,20211213,,3.0345,0.8,0.15,,1.0,0.0001,,中债综合财富(总值)指数收益率*85%+沪深300指数收益率*10%+恒生指数收益率(使用估值汇率调整)*5%,L,混合型,契约型开放式,,,,O
013388.OF,长城价值领航C,长城基金,北京银行,混合型,20211228,,,20211213,,0.1976,1.5,0.25,,1.0,0.0001,,中证800指数收益率*70%+中债综合全价指数收益率*20%+中证港股通综合指数收益率(人民币)*10%,L,混合型,契约型开放式,,,,O
013859.OF,宝盈品质甄选A,宝盈基金,中国工商银行,混合型,20211228,,,20211213,,4.1363,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+中证综合债券指数收益率*20%,L,混合型,契约型开放式,,,,O
013387.OF,长城价值领航A,长城基金,北京银行,混合型,20211228,,,20211213,,3.7251,1.5,0.25,,1.0,0.0001,,中证800指数收益率*70%+中债综合全价指数收益率*20%+中证港股通综合指数收益率(人民币)*10%,L,混合型,契约型开放式,,,,O
014533.OF,易方达MSCI中国A50互联互通联接C,易方达基金,中国工商银行,股票型,20211228,,,20211213,,5.3739,0.5,0.1,,1.0,0.0001,,MSCI中国A50互联互通人民币指数收益率*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
014416.OF,泰康研究精选A,泰康资产,国信证券,股票型,20211228,,,20211210,,0.1625,1.5,0.25,,1.0,0.001,,中证800指数收益率*80%+恒生指数收益率*10%+金融机构人民币活期存款利率(税后)*10%,L,股票型,契约型开放式,,,,O
014530.OF,华夏MSCI中国A50联接A,华夏基金,招商银行,股票型,20211228,,,20211213,,6.4097,0.5,0.1,,1.0,0.0001,,MSCI中国A50互联互通人民币指数收益率*95%+人民币活期存款(税后)利率*5%,L,被动指数型,契约型开放式,,20211231,20211231,O
005536.OF,渤海汇金量化成长,渤海汇金资管,交通银行,混合型,20211228,,,20211213,,0.611,1.2,0.2,,1.0,0.001,,中证500指数收益率*80%+中证综合债指数收益率*20%,L,混合型,契约型开放式,,,,O
008923.OF,建信医疗健康行业A,建信基金,杭州银行,股票型,20211228,,,20211206,,1.6044,1.5,0.25,,1.0,0.001,,中证医药卫生指数*80%+中债综合全价(总值)指数收益率*10%+恒生医疗保健指数收益率*10%,L,股票型,契约型开放式,,,,O
012259.OF,天弘鑫悦成长C,天弘基金,兴业银行,混合型,20211228,,,20211012,,2.6603,1.5,0.25,,1.0,0.001,,中证800指数收益率*65%+中证综合债指数收益率*30%恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,,,O
013860.OF,宝盈品质甄选C,宝盈基金,中国工商银行,混合型,20211228,,,20211213,,0.1601,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+中证综合债券指数收益率*20%,L,混合型,契约型开放式,,,,O
014617.OF,易方达如意安和一年持有A,易方达基金,浦发银行,混合型,20211228,,,20211220,,8.4802,0.6,0.15,,1.0,0.0001,,中债新综合指数(财富)收益率*90%+沪深300指数收益率*10%,L,混合型,契约型开放式,,,,O
014304.OF,华安中证内地新能源主题ETF联接C,华安基金,中国银行,股票型,20211228,,,20211220,,0.0553,0.5,0.1,,1.0,0.0001,,中证内地新能源主题指数收益率*95%+商业银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20220104,20220104,O
014532.OF,易方达MSCI中国A50互联互通联接A,易方达基金,中国工商银行,股票型,20211228,,,20211213,,27.0896,0.5,0.1,,1.0,0.0001,,MSCI中国A50互联互通人民币指数收益率*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
008423.OF,中融研发创新C,中融基金,中国民生银行,混合型,20211228,,,20211206,,0.7664,1.5,0.25,,1.0,0.0001,,中证研发创新100指数收益率*65%+中债综合指数收益率*25%+恒生指数收益率*10%,L,混合型,契约型开放式,,,,O
008422.OF,中融研发创新A,中融基金,中国民生银行,混合型,20211228,,,20211206,,1.8213,1.5,0.25,,1.0,0.0001,,中证研发创新100指数收益率*65%+中债综合指数收益率*25%+恒生指数收益率*10%,L,混合型,契约型开放式,,,,O
012258.OF,天弘鑫悦成长A,天弘基金,兴业银行,混合型,20211228,,,20211012,,0.8168,1.5,0.25,,1.0,0.001,,中证800指数收益率*65%+中证综合债指数收益率*30%恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,,,O
014320.OF,德邦半导体产业C,德邦基金,浦发银行,混合型,20211228,,,20211220,,0.0046,1.5,0.25,,1.0,0.001,,中证全指半导体产品与设备指数收益率*70%+中证全债指数收益率*20%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,,,O
014303.OF,华安中证内地新能源主题ETF联接A,华安基金,中国银行,股票型,20211228,,,20211220,,0.1018,0.5,0.1,,1.0,0.0001,,中证内地新能源主题指数收益率*95%+商业银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20220104,20220104,O
014089.OF,永赢稳健增强C,永赢基金,浙商银行,债券型,20211228,,,20211213,,14.3168,0.7,0.1,,1.0,0.001,,中债综合全价(总值)指数收益率*90%+沪深300指数收益率*8%+恒生综合指数收益率*2%,L,债券型,契约型开放式,,,,O
014566.OF,国泰君安善融稳健一年持有A,国泰君安资管,江苏银行,混合型,20211228,,,20211215,,19.5683,0.6,0.13,,1.0,0.0001,,中债新综合指数(财富)收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,,,O
014543.OF,汇添富中证沪港深云计算产业指数A,汇添富基金,招商银行,股票型,20211228,,,20211220,,0.105,0.5,0.1,,1.0,0.001,,中证沪港深云计算产业指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
014455.OF,中银成长优选C,中银基金,中国邮政储蓄银行,股票型,20211228,,,,,,1.5,0.25,,1.0,,,中证500指数收益率*90%+中债综合全价(总值)指数收益率*10%,L,股票型,契约型开放式,,20211228,20211228,O
014618.OF,易方达如意安和一年持有C,易方达基金,浦发银行,混合型,20211228,,,20211220,,0.5187,0.6,0.15,,1.0,0.0001,,中债新综合指数(财富)收益率*90%+沪深300指数收益率*10%,L,混合型,契约型开放式,,,,O
014650.OF,永赢优质精选C,永赢基金,中国银行,混合型,20211228,,,20211227,,0.0009,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+恒生指数收益率*20%+中债-综合指数(全价)收益率*20%,L,混合型,契约型开放式,,20220107,20220107,O
014104.OF,富安达成长价值一年持有C,富安达基金,交通银行,混合型,20211228,,,20211206,,0.2426,1.5,0.25,,1.0,0.001,,沪深300指数收益率*70%+上证国债指数收益率*30%,L,混合型,契约型开放式,,,,O
012586.OF,南方港股创新视野一年持有A,南方基金,浦发银行,混合型,20211228,,,20211116,,2.1013,1.5,0.25,,1.0,0.0001,,恒生综合指数收益率*60%+中债综合指数收益率*30%+中证800指数收益率*10%,L,混合型,契约型开放式,,,,O
