ts_code,name,management,fund_type,found_date,m_fee,c_fee,benchmark,invest_type,market
159719.SZ,开放共赢ETF,平安基金,股票型,20211217,0.25,0.05,富时中国国企开放共赢指数收益率,被动指数型,E
159718.SZ,港股医药ETF,平安基金,股票型,20211216,0.5,0.1,中证港股通医药卫生综合指数收益率(经汇率调整),被动指数型,E
501216.SH,富国行业精选FOF,富国基金,股票型,20211216,0.5,0.1,中证800指数收益率*75%+中债综合全价指数收益率*20%+恒生指数收益率(使用估值汇率折算)*5%,股票型,E
159711.SZ,港股通ETF,华夏基金,股票型,20211216,0.5,0.1,中证港股通50指数收益率(估值汇率调整),被动指数型,E
159701.SZ,物联网ETF招商,招商基金,股票型,20211215,0.5,0.1,中证物联网主题指数收益率,被动指数型,E
516350.SH,芯片50ETF,易方达基金,股票型,20211215,0.15,0.05,中证芯片产业指数收益率,被动指数型,E
501219.SH,智胜先锋LOF,华夏基金,股票型,20211215,1.0,0.2,中证500指数收益率*95%+银行活期存款利率(税后)*5%,股票型,E
159608.SZ,稀有金属ETF,广发基金,股票型,20211215,0.5,0.1,中证稀有金属主题指数收益率,被动指数型,E
159610.SZ,500ETF增强,景顺长城基金,股票型,20211213,0.5,0.1,中证500指数收益率,增强指数型,E
159730.SZ,龙头家电ETF,博时基金,股票型,20211213,0.5,0.1,国证龙头家电指数收益率,被动指数型,E
517390.SH,云计算AH,天弘基金,股票型,20211210,0.5,0.1,中证沪港深云计算产业指数收益率,被动指数型,E
588150.SH,科创龙头ETF,南方基金,股票型,20211210,0.5,0.1,上证科创板50成份指数收益率,被动指数型,E
159751.SZ,港股科技ETF,鹏华基金,股票型,20211210,0.6,0.15,中证港股通科技指数收益率,被动指数型,E
159706.SZ,深证100ETF华安,华安基金,股票型,20211209,0.15,0.05,深证100指数收益率,被动指数型,E
516690.SH,化工产业ETF,银华基金,股票型,20211207,0.5,0.1,中证细分化工产业主题指数收益率,被动指数型,E
501211.SH,民生加银优享FOF,民生加银基金,混合型,20211207,1.0,0.15,中债综合指数收益率*65%+沪深300指数收益率*25%+恒生综合指数收益率(经汇率估值调整)*5%+1年期定期存款收益率(税后)*5%,混合型,E
159760.SZ,公共卫生健康ETF,泰康基金,股票型,20211206,0.5,0.1,国证公共卫生与健康指数收益率,被动指数型,E
508099.SH,建信中关村REIT,建信基金,REITs,20211203,0.24,0.02,,,E
180202.SZ,华夏越秀高速REIT,华夏基金,REITs,20211203,0.45,0.03,,,E
562900.SH,现代农业ETF,易方达基金,股票型,20211202,0.15,0.05,中证现代农业主题指数收益率,被动指数型,E
561990.SH,沪深300增强ETF,招商基金,股票型,20211202,0.5,0.1,沪深300指数收益率,增强指数型,E
561550.SH,500增强ETF,华泰柏瑞基金,股票型,20211202,0.7,0.1,中证500指数收益率,增强指数型,E
159731.SZ,石化ETF,华夏基金,股票型,20211202,0.5,0.1,中证石化产业指数收益率,被动指数型,E
561300.SH,300增强ETF,国泰基金,股票型,20211201,1.0,0.1,沪深300指数收益率,增强指数型,E
517330.SH,长江保护ETF,易方达基金,股票型,20211126,0.15,0.05,中证长江保护主题指数收益率,被动指数型,E
517160.SH,长江保护主题ETF,南方基金,股票型,20211126,0.15,0.05,中证长江保护主题指数收益率,被动指数型,E
517770.SH,游戏传媒ETF,浦银安盛基金,股票型,20211125,0.5,0.1,中证沪港深游戏及文化传媒指数收益率,被动指数型,E
159789.SZ,饮料ETF,建信基金,股票型,20211125,0.5,0.1,中证饮料主题指数收益率,被动指数型,E
159748.SZ,沪港深创新药ETF,富国基金,股票型,20211124,0.5,0.1,中证沪港深创新药产业指数收益率,被动指数型,E
159761.SZ,新材料50ETF,国泰基金,股票型,20211124,0.5,0.1,中证新材料主题指数收益率,被动指数型,E
159607.SZ,中概互联网ETF,嘉实基金,股票型,20211124,0.5,0.1,中证海外中国互联网30指数收益率(经估值汇率调整),被动指数型,E
501218.SH,工银睿智进取FOF,工银瑞信基金,股票型,20211124,0.5,0.1,中证800指数收益率*90%+中债-新综合财富(总值)指数收益率*10%,股票型,E
159605.SZ,中概互联ETF,广发基金,股票型,20211124,0.5,0.1,人民币计价的中证海外中国互联网30指数收益率,被动指数型,E
517960.SH,科技AHETF,上投摩根基金,股票型,20211122,0.3,0.1,中证沪港深科技100指数收益率,被动指数型,E
588310.SH,双创ETF基金,方正富邦基金,股票型,20211122,0.5,0.1,中证科创创业50指数收益率,被动指数型,E
159779.SZ,消费电子ETF基金,招商基金,股票型,20211118,0.5,0.1,中证消费电子主题指数收益率,被动指数型,E
517880.SH,品牌消费ETF,华泰柏瑞基金,股票型,20211117,0.5,0.1,中证沪港深品牌消费50指数收益率,被动指数型,E
517280.SH,网购ETF,天弘基金,股票型,20211116,0.5,0.1,中证沪港深线上消费主题指数收益率,被动指数型,E
159896.SZ,物联网龙头ETF,南方基金,股票型,20211115,0.5,0.1,中证物联网主题指数收益率,被动指数型,E
501215.SH,积极配置FOF,兴证全球基金,混合型,20211112,1.1,0.15,中证偏股型基金指数收益率*85%+中债综合(全价)指数收益率*15%,混合型,E
159726.SZ,恒生红利ETF,华夏基金,股票型,20211111,0.5,0.1,恒生中国内地企业高股息率指数收益率(经估值汇率调整),被动指数型,E
561310.SH,消电ETF,国泰基金,股票型,20211110,0.5,0.1,中证消费电子主题指数收益率,被动指数型,E
501213.SH,中欧汇选FOF,中欧基金,混合型,20211110,1.0,0.2,中证800指数收益率*80%+银行活期存款利率(税后)*20%,混合型,E
501210.SH,交银智选星光FOF,交银施罗德基金,混合型,20211110,1.0,0.2,沪深300指数收益率*80%+中债综合全价指数收益率*20%,混合型,E
159793.SZ,线上消费ETF平安,平安基金,股票型,20211109,0.5,0.1,中证沪港深线上消费主题指数收益率,被动指数型,E
159707.SZ,地产ETF,华宝基金,股票型,20211104,0.5,0.1,中证800地产指数收益率,被动指数型,E
516730.SH,证券公司ETF,浦银安盛基金,股票型,20211104,0.5,0.1,中证证券公司30指数收益率,被动指数型,E
159739.SZ,大数据ETF,鹏华基金,股票型,20211103,0.5,0.1,中证云计算与大数据主题指数收益率,被动指数型,E
501212.SH,广发优选配置FOF,广发基金,混合型,20211102,1.0,0.2,中债-综合全价(总值)指数收益率*50%+中证800指数收益率*45%+人民币计价的恒生指数收益率*5%,混合型,E
159601.SZ,A50ETF,华夏基金,股票型,20211101,0.5,0.1,MSCI中国A50互联互通人民币指数收益率,被动指数型,E
563000.SH,中国A50ETF,易方达基金,股票型,20211029,0.5,0.1,MSCI中国A50互联互通人民币指数收益率,被动指数型,E
159602.SZ,中国A50ETF,南方基金,股票型,20211029,0.5,0.1,MSCI中国A50互联互通指数(人民币)收益率,被动指数型,E
560050.SH,MSCI中国A50ETF,汇添富基金,股票型,20211029,0.5,0.1,MSCI中国A50互联互通人民币指数收益率,被动指数型,E
516750.SH,建材ETF,富国基金,股票型,20211028,0.5,0.1,中证全指建筑材料指数收益率,被动指数型,E
159712.SZ,港股通50ETF,国泰基金,股票型,20211027,0.5,0.1,中证港股通50指数收益率,被动指数型,E
159862.SZ,食品ETF,银华基金,股票型,20211026,0.5,0.1,中证细分食品饮料产业主题指数收益率,被动指数型,E
159770.SZ,机器人ETF,天弘基金,股票型,20211026,0.5,0.1,中证机器人指数收益率,被动指数型,E
159877.SZ,医疗产业ETF,南方基金,股票型,20211022,0.5,0.1,中证全指医疗保健设备与服务指数收益率,被动指数型,E
516620.SH,影视ETF,国泰基金,股票型,20211020,0.5,0.1,中证影视主题指数收益率,被动指数型,E
159895.SZ,物联网50ETF,易方达基金,股票型,20211013,0.15,0.05,中证物联网主题指数收益率,被动指数型,E
588280.SH,科创50ETF华安,华安基金,股票型,20211012,0.5,0.1,上证科创板50成份指数收益率,被动指数型,E
517660.SH,物联网AH,天弘基金,股票型,20211012,0.5,0.1,中证沪港深物联网主题指数收益率,被动指数型,E
159892.SZ,恒生医药ETF,华夏基金,股票型,20210929,0.5,0.15,恒生香港上市生物科技指数收益率(使用估值汇率折算),被动指数型,E
