ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,net_asset,ann_date
163819.SZ,中银信用增利LOF,中银基金,20120312,债券型,债券型,中债企业债总全价指数收益率*80%+中债国债总全价指数收益率*20%,0.7,0.2,29.01,20210930
161614.SZ,融通四季添利LOF,融通基金,20120301,债券型,债券型,中债综合指数收益率,0.6,0.2,2.76,20210930
164606.SZ,信用增利LOF,华泰柏瑞基金,20110922,债券型,债券型,中债综合指数,0.3,0.1,0.3,20210930
162712.SZ,广发聚利LOF,广发基金,20110805,债券型,债券型,中证全债指数收益率,0.6,0.2,10.06,20210930
165311.SZ,信用债LOF,建信基金,20110616,债券型,债券型,中国债券总指数收益率,0.7,0.2,0.39,20210930
161216.SZ,国投双债LOF,国投瑞银基金,20110329,债券型,债券型,标普中国可转债指数收益率*45%+中债企业债总全价指数收益率*45%+中债国债总指数收益率*10%,0.7,0.2,5.37,20210930
164808.SZ,工银四季LOF,工银瑞信基金,20110210,债券型,债券型,中债信用债(财富)总指数收益率*80%+中债国开行债券(1~3年)总财富指数收益率*20%,0.6,0.2,19.88,20210930
164902.SZ,交银添利LOF,交银施罗德基金,20110127,债券型,债券型,中债企业债总全价指数收益率*80%+中债国债总全价指数收益率*20%,0.6,0.2,48.92,20210930
166008.SZ,中欧强债LOF,中欧基金,20101202,债券型,债券型,中国债券总指数,0.7,0.2,4.21,20210930
160617.SZ,鹏华丰润LOF,鹏华基金,20101202,债券型,债券型,中债综合指数收益率,0.2,0.1,8.04,20210930
161115.SZ,易基岁丰添利LOF,易方达基金,20101109,债券型,债券型,中债新综合财富指数,0.3,0.1,25.78,20210930
165509.SZ,信诚增强LOF,中信保诚基金,20100929,债券型,债券型,中证综合债指数收益率,0.7,0.2,0.34,20210930
164105.SZ,华富强债LOF,华富基金,20100908,债券型,债券型,中证全债指数,0.6,0.2,12.9,20210930
161713.SZ,招商信用添利LOF,招商基金,20100625,债券型,债券型,中债综合指数,0.7,0.2,16.37,20210930
161010.SZ,富国天丰LOF,富国基金,20081024,债券型,强化收益型,中债综合指数,0.6,0.2,24.1,20210930
